"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.132837542E0,1.370993257E0,9.750571847E-1,4.322208762E-1
1.142802542E0,1.156569958E0,8.713723421E-1,3.375225961E-1
1.152767542E0,7.918658257E-1,8.565312028E-1,2.134045660E-1
1.162732542E0,2.758106887E-1,9.007791281E-1,2.639526874E-2
1.172697542E0,-2.293883413E-1,9.105165005E-1,-1.580749452E-1
1.182662542E0,-5.809770226E-1,7.598696947E-1,-2.859615386E-1
1.192626542E0,-7.356160879E-1,5.526949763E-1,-3.537263274E-1
1.202591542E0,-7.050565481E-1,3.167514205E-1,-3.192346692E-1
1.212556542E0,-5.094919801E-1,1.484807432E-1,-1.532673389E-1
1.222521542E0,-5.733143687E-1,-3.906746209E-1,-8.364288807E-1
1.232486542E0,-2.687986493E-1,-2.721520960E-1,-8.704151511E-1
1.242451542E0,-1.849495620E-1,-3.002769649E-1,-9.531361461E-1
1.252416542E0,-8.493399620E-2,-4.592637718E-1,-8.137166500E-1
1.262381542E0,7.558537275E-2,-5.971047282E-1,-7.613298297E-1
1.272345542E0,1.792362481E-1,-8.507282138E-1,-8.671103716E-1
1.282310542E0,1.733024567E-1,-9.514108896E-1,-8.553572893E-1
1.292275542E0,-2.109979540E-1,-6.886684299E-1,-5.976084471E-1
1.302240542E0,-3.782934844E-1,-4.492318034E-1,-3.079665303E-1
1.312205542E0,-2.789331079E-1,-1.753080934E-1,-2.696071267E-1
1.322170542E0,-8.422487229E-2,-1.607139707E-1,-3.256751895E-1
1.332135542E0,1.112831384E-2,-4.416364133E-1,-4.094790518E-1
1.342100542E0,-2.051936090E-2,-4.842784107E-1,-4.760591388E-1
1.352064542E0,-1.290819794E-1,-2.938881516E-1,-4.455063939E-1
1.362029542E0,-2.021444738E-1,-1.255124807E-1,-3.578852117E-1
1.371994417E0,-2.337203622E-1,1.342897117E-1,-1.988924742E-1
1.381959417E0,-2.363001704E-1,4.200524688E-1,-1.116119605E-2
1.391924417E0,-1.286369860E-1,5.629448891E-1,1.017435119E-1
1.401889417E0,2.527082562E-1,4.058735371E-1,-9.435742162E-3
1.411854417E0,5.879955292E-1,-1.779514700E-1,-3.519931734E-1
1.421819417E0,6.597847939E-1,-4.025574028E-1,-5.998197794E-1
1.431784417E0,6.149010062E-1,-4.318129122E-1,-7.748790383E-1
1.441748417E0,4.109219909E-1,-6.680513024E-1,-8.413866758E-1
1.451713417E0,1.137870327E-1,-8.947715163E-1,-9.075518250E-1
1.461678417E0,-2.227742076E-1,-8.935480714E-1,-1.060159445E0
1.471643417E0,-5.817125440E-1,-8.617133498E-1,-1.333484411E0
1.481608417E0,-7.252026200E-1,-9.491201639E-1,-1.629213452E0
1.491573417E0,-8.514790535E-1,-9.101549387E-1,-1.796254158E0
1.501538417E0,-8.900602460E-1,-7.585294843E-1,-1.779628873E0
1.511503417E0,-1.033898711E0,-5.896700621E-1,-1.458119273E0
1.521467417E0,-1.075074911E0,-3.443213403E-1,-1.175996780E0
1.531432417E0,-1.040788293E0,-3.505720794E-1,-7.941166759E-1
1.541397417E0,-8.611993194E-1,-2.715004385E-1,-4.682998955E-1
1.551362417E0,-7.071803212E-1,-9.896238334E-4,-3.678154349E-1
1.561327417E0,-6.310900450E-1,1.847200543E-1,-2.817061245E-1
1.571292417E0,-6.643063426E-1,2.099755257E-1,-2.637125552E-1
1.581257417E0,-8.151912093E-1,2.322240919E-1,-3.388965130E-1
1.591222417E0,-1.138194442E0,2.815453708E-1,-3.763220310E-1
1.601187417E0,-1.477083564E0,2.977656424E-1,-4.153732955E-1
1.611151417E0,-1.841914535E0,3.205200434E-1,-5.230181813E-1
1.621116417E0,-2.124993324E0,5.463724136E-1,-6.466937661E-1
1.631081417E0,-2.158420563E0,1.046216488E0,-6.305105090E-1
1.641046417E0,-1.681874394E0,1.034332395E0,-4.580308795E-1
1.651011417E0,-3.796371222E-1,1.725465208E-1,-3.323506117E-1
1.660976417E0,8.711026311E-1,-6.719838977E-1,-1.882906556E-1
1.670941417E0,1.582430601E0,-1.179646492E0,-5.599587038E-2
1.680906417E0,1.930219769E0,-1.423589706E0,-2.287905514E-1
1.690870417E0,2.027743578E0,-1.447255850E0,-6.199370027E-1
1.700835417E0,1.958683968E0,-1.303980470E0,-1.135367870E0
1.710800417E0,1.759886026E0,-8.470479250E-1,-1.553184152E0
1.720765417E0,1.385638952E0,-3.436577618E-1,-1.741546631E0
1.730730417E0,9.470874667E-1,5.208949000E-2,-1.637548685E0
1.740695417E0,5.463525653E-1,1.251620948E-1,-1.328110456E0
1.750660417E0,1.975421757E-1,2.127212733E-1,-9.834063053E-1
1.760625417E0,1.436968893E-2,3.528024852E-1,-7.116669416E-1
1.770590417E0,-5.539425090E-2,3.220706284E-1,-4.194521010E-1
1.780554417E0,-3.076054528E-2,2.256162614E-1,-1.096995622E-1
1.790519417E0,1.418593060E-2,5.203918740E-2,1.346358210E-1
1.800484417E0,-5.506531149E-2,-1.065557823E-1,2.438467294E-1
1.810449417E0,-1.956162155E-1,-1.042890251E-1,2.757203877E-1
1.820414417E0,-3.995440602E-1,-6.371337175E-2,2.719994187E-1
1.830379417E0,-6.097323298E-1,4.470157996E-2,2.790549099E-1
1.840344417E0,-8.009656668E-1,1.155999899E-1,3.459617794E-1
1.850309417E0,-9.150527716E-1,2.263784558E-1,4.324454665E-1
1.860274417E0,-1.000093937E0,2.831378877E-1,5.043649077E-1
1.870238417E0,-1.044565678E0,2.432796061E-1,6.294236183E-1
1.880203417E0,-1.083751202E0,2.077229470E-1,7.227807641E-1
1.890168417E0,-1.110155463E0,2.014976740E-1,7.729340196E-1
1.900133417E0,-1.139045238E0,1.990949661E-1,8.133512139E-1
1.910098417E0,-1.120259166E0,2.311979383E-1,8.568375111E-1
1.920063417E0,-1.064865112E0,2.598951161E-1,8.656563163E-1
1.930028417E0,-1.008143187E0,2.592358589E-1,8.544021845E-1
1.939993417E0,-9.437335134E-1,2.464298159E-1,8.376641870E-1
1.949958417E0,-8.704099059E-1,2.465531230E-1,7.963516116E-1
1.959922417E0,-7.531961799E-1,2.770234048E-1,7.593864202E-1
1.969887417E0,-7.001220584E-1,2.981452048E-1,7.339599133E-1
1.979852417E0,-6.713029146E-1,3.738567531E-1,7.125265002E-1
1.989817417E0,-6.519230008E-1,3.658122122E-1,6.651599407E-1
1.999782417E0,-5.709797144E-1,4.176186621E-1,6.251073480E-1
2.009747417E0,-5.422679782E-1,3.588572741E-1,5.575957894E-1
2.019712417E0,-4.816621244E-1,3.004067540E-1,5.077896118E-1
2.029677417E0,-4.141412079E-1,2.165987343E-1,4.347278774E-1
2.039641417E0,-3.011073172E-1,1.602081656E-1,3.257129788E-1
2.049606417E0,-1.903848052E-1,1.034170464E-1,1.770710498E-1
2.059571417E0,-7.613812387E-2,8.210616559E-2,-7.843410596E-3
2.069536417E0,6.043766625E-3,-5.267385393E-3,-7.076007873E-2
2.079501417E0,2.558178082E-2,-1.281877887E-2,-1.120190993E-1
2.089466417E0,3.485468403E-2,-3.335936740E-2,-1.487508267E-1
2.099431417E0,4.445271567E-2,-5.240656063E-2,-1.885775924E-1
2.109396417E0,4.655436054E-2,-7.064485550E-2,-2.122968584E-1
2.119361417E0,3.473338857E-2,-2.755677700E-2,-2.132412195E-1
2.129325417E0,2.288899943E-2,8.210119791E-3,-1.991638988E-1
2.139290417E0,1.379510202E-2,2.529696003E-2,-1.637236178E-1
2.149255417E0,4.640711471E-3,-1.194598619E-3,-1.092027947E-1
2.159220417E0,-1.532229711E-3,-3.116474673E-2,-7.947739214E-2
2.169185417E0,-2.363917045E-2,-3.804718703E-2,-5.113012344E-2
2.179150417E0,-5.386924744E-2,-1.619938295E-3,-1.518064272E-2
2.189115417E0,-6.937631965E-2,5.649644509E-2,-2.191880159E-2
2.199080417E0,-3.762504831E-2,4.532394931E-2,3.960199188E-3
2.209045417E0,3.333815932E-2,-4.712613672E-2,1.796454936E-2
2.219009417E0,8.994124830E-2,-1.259628981E-1,2.238779329E-2
2.228974417E0,1.035780683E-1,-1.241772622E-1,3.947409242E-2
2.238939417E0,7.206887752E-2,-8.879929781E-2,3.355308622E-2
2.248904417E0,2.965742163E-2,-5.387207866E-2,3.215478733E-2
2.258869417E0,-1.752287336E-2,-1.724829152E-2,3.671065718E-2
2.268834417E0,-3.405260295E-2,-2.501718700E-5,3.275443614E-2
2.278799417E0,-3.029860929E-2,5.925698206E-4,2.178700455E-2
2.288764417E0,-2.391261607E-2,2.542681247E-2,-3.016079310E-3
2.298729417E0,-3.877704963E-2,7.937872410E-2,-2.623325214E-2
2.308693417E0,-7.725450397E-2,1.363388896E-1,-5.506380275E-2
2.318658417E0,-1.187580079E-1,1.759592593E-1,-9.359654784E-2
2.328623417E0,-1.648829281E-1,1.892285049E-1,-1.228579953E-1
2.338588417E0,-1.985522062E-1,1.922741085E-1,-1.572711021E-1
2.348553417E0,-2.133089304E-1,2.000767291E-1,-1.917437464E-1
2.358518417E0,-2.177353650E-1,2.178775668E-1,-2.450999171E-1
2.368483167E0,-2.078248411E-1,2.190777361E-1,-2.261270732E-1
2.378448167E0,-1.994047314E-1,2.060380876E-1,-2.444805205E-1
2.388413167E0,-1.882730275E-1,1.844610423E-1,-2.072310746E-1
2.398377167E0,-2.003722936E-1,1.865857095E-1,-2.189055681E-1
2.408342167E0,-2.165273428E-1,1.424631476E-1,-2.148982435E-1
2.418307167E0,-2.472796589E-1,1.341005564E-1,-2.428864688E-1
2.428272167E0,-2.575405836E-1,1.359604746E-1,-2.529661953E-1
2.438237167E0,-2.426178306E-1,1.525778025E-1,-2.312286794E-1
2.448202167E0,-1.751576960E-1,1.279332787E-1,-1.932291985E-1
2.458167167E0,-4.604657739E-2,4.668103158E-2,-1.125077158E-1
2.468132167E0,6.572782993E-2,-4.716072977E-2,-6.843511015E-2
2.478097167E0,1.396894008E-1,-1.309035569E-1,6.103841588E-3
2.488061167E0,1.307784170E-1,-1.702918261E-1,4.062221199E-2
2.498026167E0,9.158121794E-2,-1.923324168E-1,1.057950929E-1
2.507991167E0,6.353924423E-2,-1.897054315E-1,1.394893527E-1
2.517956167E0,8.703099191E-2,-1.950389445E-1,1.766191423E-1
2.527921167E0,1.258947253E-1,-2.113729417E-1,1.880185902E-1
