"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.633181882E2,2.510279846E-1,1.148711243E0,9.763596497E0
5.633281532E2,2.429447937E-1,1.168619843E0,9.759405212E0
5.633381192E2,2.519261169E-1,1.166973267E0,9.760602722E0
5.633480842E2,1.923500061E-1,1.201251984E0,9.715396729E0
5.633580492E2,1.263372803E-1,1.213227081E0,9.669442291E0
5.633680152E2,1.480421448E-1,1.241667938E0,9.597591705E0
5.633779802E2,1.975891113E-1,1.264869690E0,9.563163300E0
5.633879462E2,1.939965820E-1,1.243613892E0,9.597292328E0
5.633979112E2,2.167492676E-1,1.212478638E0,9.634564819E0
5.634078772E2,2.565664673E-1,1.201251984E0,9.660910034E0
5.634178422E2,3.153941345E-1,1.216669922E0,9.637857971E0
5.634278072E2,2.835104370E-1,1.216071167E0,9.596992950E0
5.634377732E2,2.736309814E-1,1.199755096E0,9.619446259E0
5.634477382E2,3.101550293E-1,1.176553345E0,9.679022369E0
5.634577042E2,3.463796997E-1,1.197509766E0,9.737700348E0
5.634676692E2,3.249742126E-1,1.161135406E0,9.801467743E0
5.634776342E2,3.095562744E-1,1.112486572E0,9.822424164E0
5.634876002E2,3.568579102E-1,1.135987701E0,9.812544708E0
5.634975652E2,3.808081055E-1,1.196461945E0,9.802515564E0
5.635075312E2,3.356021118E-1,1.210083618E0,9.782906342E0
5.635174962E2,3.059637451E-1,1.172960815E0,9.773475952E0
5.635274622E2,3.948788452E-1,1.154549103E0,9.753118286E0
5.635374272E2,4.601431274E-1,1.140328674E0,9.730814667E0
5.635473922E2,4.375401306E-1,1.126707001E0,9.744436340E0
5.635573582E2,3.772155762E-1,1.123114471E0,9.761800232E0
5.635673232E2,3.433859253E-1,1.160686340E0,9.760902100E0
5.635772892E2,3.035687256E-1,1.215921478E0,9.726024628E0
5.635872542E2,2.562670898E-1,1.214274902E0,9.669142914E0
5.635972192E2,2.234852600E-1,1.191821594E0,9.633816376E0
5.636071852E2,2.272274780E-1,1.181044006E0,9.645791473E0
5.636171502E2,2.420466614E-1,1.159788208E0,9.659712524E0
5.636271162E2,2.565664673E-1,1.196012878E0,9.721983032E0
5.636370812E2,2.442919922E-1,1.187630310E0,9.751471710E0
5.636470472E2,2.499801636E-1,1.248254242E0,9.777367859E0
5.636570122E2,2.345622253E-1,1.284927979E0,9.805958405E0
5.636669772E2,2.236349487E-1,1.285676422E0,9.779313812E0
5.636769432E2,2.817141724E-1,1.265767822E0,9.747729492E0
5.636869082E2,3.288661194E-1,1.205892334E0,9.752070465E0
5.636968742E2,3.751199341E-1,1.175804901E0,9.807305603E0
5.637068392E2,3.652404785E-1,1.168769531E0,9.856702881E0
5.637168052E2,3.237767029E-1,1.212478638E0,9.873617706E0
5.637267702E2,2.511776733E-1,1.252595215E0,9.828411713E0
5.637367352E2,1.989363098E-1,1.304088135E0,9.770332489E0
5.637467012E2,1.419049072E-1,1.317410431E0,9.781259766E0
5.637566662E2,1.161584473E-1,1.297202454E0,9.818232880E0
5.637666322E2,1.562750244E-1,1.223405914E0,9.819729767E0
5.637765972E2,2.380050659E-1,1.172661438E0,9.763895874E0
5.637865622E2,2.857557678E-1,1.165775757E0,9.771080933E0
5.637965282E2,2.939886475E-1,1.165476379E0,9.753118286E0
5.638064932E2,2.965333557E-1,1.194066925E0,9.718240814E0
5.638164592E2,2.396516418E-1,1.225351868E0,9.699230347E0
5.638264242E2,1.977388000E-1,1.278940430E0,9.665550385E0
5.638363902E2,1.522334290E-1,1.310824127E0,9.639205170E0
5.638463552E2,1.251397705E-1,1.317859497E0,9.642198944E0
5.638563202E2,1.646575928E-1,1.278191986E0,9.642947388E0
5.638662862E2,2.543211365E-1,1.197360077E0,9.576635284E0
5.638762512E2,2.754272461E-1,1.166075134E0,9.518556061E0
5.638862172E2,3.044668579E-1,1.157093811E0,9.508077850E0
