"Time (s)","X (hPa)"
3.683713448E2,1.021417236E3
3.694406498E2,1.021417236E3
3.705099638E2,1.021415939E3
3.715792738E2,1.021406708E3
3.726485808E2,1.021391754E3
3.737179338E2,1.021366272E3
3.747873358E2,1.021331329E3
3.758567358E2,1.021286697E3
3.769260908E2,1.021238937E3
3.779954568E2,1.021187973E3
3.790648098E2,1.021132584E3
3.801341438E2,1.021072006E3
3.812035008E2,1.021010056E3
3.822728518E2,1.020945206E3
3.833422038E2,1.020877380E3
3.844115638E2,1.020811920E3
3.854809088E2,1.020749435E3
3.865502218E2,1.020694046E3
3.876195078E2,1.020650101E3
3.886888438E2,1.020609512E3
3.897582328E2,1.020582123E3
3.908276038E2,1.020570297E3
3.918969968E2,1.020570297E3
3.929662758E2,1.020575333E3
3.940356368E2,1.020575943E3
3.951050068E2,1.020609207E3
3.961743988E2,1.020648575E3
3.972437878E2,1.020679169E3
3.983131668E2,1.020711746E3
3.993824968E2,1.020768814E3
4.004518908E2,1.020803299E3
4.015212738E2,1.020824966E3
4.025906528E2,1.020858307E3
4.036600008E2,1.020889053E3
4.047293468E2,1.020914078E3
4.057986748E2,1.020935745E3
4.068679988E2,1.020955963E3
4.079373498E2,1.020974121E3
4.090066508E2,1.020988007E3
4.100759458E2,1.020993881E3
4.111452378E2,1.020998535E3
4.122145238E2,1.021002884E3
4.132838368E2,1.021004639E3
4.143531678E2,1.021009598E3
4.154224928E2,1.021009598E3
4.164917918E2,1.021005859E3
4.175610978E2,1.020994873E3
4.186304138E2,1.020986710E3
4.196997308E2,1.020985870E3
4.207690588E2,1.020985870E3
4.218384218E2,1.020999527E3
4.229077908E2,1.021022949E3
4.239770998E2,1.021042633E3
4.250463978E2,1.021062775E3
4.261156848E2,1.021090698E3
4.271849958E2,1.021121063E3
4.282543018E2,1.021149826E3
4.293235988E2,1.021167908E3
4.303928998E2,1.021175537E3
4.314621628E2,1.021175537E3
4.325314348E2,1.021168823E3
4.336007638E2,1.021156845E3
4.346701098E2,1.021150208E3
4.357394578E2,1.021145706E3
4.368088208E2,1.021134338E3
4.378781728E2,1.021122437E3
4.389475578E2,1.021105881E3
4.400169188E2,1.021088333E3
4.410862968E2,1.021072845E3
4.421556828E2,1.021062469E3
