"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.428272167E0,1.616134644E1,-1.595259285E1,-3.979580688E1
2.438237167E0,1.657179260E1,-1.586672783E1,-4.003927994E1
2.448202167E0,1.676356506E1,-1.578631401E1,-3.991535950E1
2.458167167E0,1.723416138E1,-1.567774773E1,-3.995566559E1
2.468132167E0,1.735877991E1,-1.563849831E1,-3.997162247E1
2.478097167E0,1.776303101E1,-1.562098503E1,-4.000906372E1
2.488061167E0,1.794021606E1,-1.573391533E1,-3.983720398E1
2.498026167E0,1.815696716E1,-1.564171028E1,-3.998719406E1
2.507991167E0,1.846115112E1,-1.589352989E1,-3.998025513E1
2.517956167E0,1.869148254E1,-1.596853065E1,-3.997465897E1
2.527921167E0,1.883958435E1,-1.635192680E1,-4.006899261E1
2.537886167E0,1.898095703E1,-1.647083855E1,-4.007276917E1
2.547851167E0,1.913883972E1,-1.658028603E1,-4.013952255E1
2.557816167E0,1.918312073E1,-1.680152702E1,-4.049938583E1
2.567781167E0,1.938096619E1,-1.700338936E1,-4.041425705E1
2.577745167E0,1.938096619E1,-1.700338936E1,-4.041425705E1
2.587710167E0,1.951730347E1,-1.712740517E1,-4.038403702E1
2.597675167E0,1.971391296E1,-1.721398354E1,-4.059246826E1
2.607640167E0,1.983535767E1,-1.745893288E1,-4.050508881E1
2.617605167E0,2.006889343E1,-1.769737816E1,-4.053370667E1
2.627570167E0,2.006242371E1,-1.768319511E1,-4.064833832E1
2.637535167E0,2.016761780E1,-1.784156609E1,-4.052494049E1
2.647500167E0,2.009632874E1,-1.793665886E1,-4.058925629E1
2.657465167E0,2.027247620E1,-1.796710777E1,-4.083301926E1
2.667429167E0,2.030920410E1,-1.813796043E1,-4.085843658E1
2.677394167E0,2.043592834E1,-1.836071968E1,-4.100189209E1
2.687359167E0,2.050260925E1,-1.840176201E1,-4.081924820E1
2.697324167E0,2.073298645E1,-1.850226784E1,-4.110589218E1
2.707289167E0,2.086555481E1,-1.870923042E1,-4.090124512E1
2.717254167E0,2.118547058E1,-1.879419899E1,-4.099555969E1
2.727219167E0,2.120622253E1,-1.881982613E1,-4.098965836E1
2.737184167E0,2.133010864E1,-1.888509178E1,-4.104277420E1
2.747149167E0,2.148036194E1,-1.894366264E1,-4.089604187E1
2.757114167E0,2.164219666E1,-1.899677086E1,-4.092110825E1
2.767078167E0,2.175775146E1,-1.914156914E1,-4.072293472E1
2.777043167E0,2.183003235E1,-1.916081810E1,-4.065462112E1
2.787008167E0,2.199667358E1,-1.919146919E1,-4.074953461E1
2.796973167E0,2.220495605E1,-1.912240410E1,-4.054166031E1
2.806938167E0,2.220495605E1,-1.912240410E1,-4.054166031E1
2.816903167E0,2.220965576E1,-1.928347206E1,-4.036968994E1
2.826868167E0,2.234384155E1,-1.931919289E1,-4.021224213E1
2.836833167E0,2.927066040E1,-1.543901062E1,-4.008678436E1
2.846797167E0,2.940147400E1,-1.547553635E1,-3.963962936E1
2.856762167E0,2.959776306E1,-1.556890488E1,-3.919133759E1
2.866727167E0,2.985249329E1,-1.562205887E1,-3.921277237E1
2.876692167E0,3.005848694E1,-1.561117172E1,-3.916903305E1
2.886657167E0,3.015753174E1,-1.557275009E1,-3.901587677E1
2.896622167E0,3.036459351E1,-1.562367630E1,-3.876719666E1
2.906587167E0,3.053811646E1,-1.571381760E1,-3.877903366E1
2.916552167E0,3.072651672E1,-1.571258545E1,-3.820801163E1
2.926517167E0,3.065585327E1,-1.550593567E1,-3.841719437E1
2.936482167E0,3.088777161E1,-1.542323685E1,-3.835105515E1
2.946446167E0,3.098425293E1,-1.550749588E1,-3.816490936E1
2.956411167E0,3.126762390E1,-1.530767441E1,-3.813716888E1
2.966376167E0,3.115617371E1,-1.533196640E1,-3.797370911E1
2.976341167E0,3.136486816E1,-1.506789017E1,-3.803878021E1
2.986306167E0,3.133154297E1,-1.503844833E1,-3.781781769E1
2.996271167E0,3.163494873E1,-1.519184113E1,-3.795221329E1
3.006236167E0,3.162107849E1,-1.495110703E1,-3.784305191E1
3.016201167E0,3.177400208E1,-1.479089737E1,-3.784450531E1
3.026166167E0,3.190676880E1,-1.465079880E1,-3.780334854E1
3.036130167E0,3.206219482E1,-1.454473114E1,-3.776770782E1
3.046095167E0,3.206219482E1,-1.454473114E1,-3.776770782E1
3.056060167E0,3.201533508E1,-1.439216232E1,-3.774674606E1
3.066025167E0,3.215715027E1,-1.440702057E1,-3.764969635E1
3.075990167E0,3.222450256E1,-1.440606689E1,-3.762562561E1
3.085955167E0,3.232446289E1,-1.423958588E1,-3.762583542E1
3.095920167E0,3.244465637E1,-1.429171371E1,-3.779383850E1
3.105885167E0,3.244163513E1,-1.431171417E1,-3.762705612E1
3.115850167E0,3.255194092E1,-1.409698105E1,-3.763559723E1
3.125815167E0,3.276632690E1,-1.406908417E1,-3.772558594E1
3.135779167E0,3.286077881E1,-1.409082413E1,-3.755922699E1
3.145744167E0,3.284257507E1,-1.412715912E1,-3.779627609E1
3.155709167E0,3.306233215E1,-1.409029007E1,-3.771350479E1
3.165674167E0,3.313166809E1,-1.418489456E1,-3.757815552E1
3.175639167E0,3.329307556E1,-1.405126953E1,-3.753768158E1
3.185604167E0,3.343753052E1,-1.404248047E1,-3.761590195E1
3.195569167E0,3.368678284E1,-1.393820190E1,-3.766472626E1
3.205534167E0,3.369421387E1,-1.390036774E1,-3.744969940E1
3.215499167E0,3.407876587E1,-1.370713806E1,-3.747913742E1
3.225463167E0,3.419296265E1,-1.372988510E1,-3.732612228E1
3.235428167E0,3.455532837E1,-1.353421783E1,-3.739538956E1
3.245393167E0,3.463845825E1,-1.358416367E1,-3.723497009E1
3.255358167E0,4.143832397E1,-1.447838974E1,-3.756501007E1
3.265323167E0,4.151628113E1,-1.428686142E1,-3.759869003E1
3.275288167E0,4.168548584E1,-1.411351013E1,-3.761647415E1
3.285253167E0,4.168548584E1,-1.411351013E1,-3.761647415E1
3.295218167E0,4.196015930E1,-1.411511612E1,-3.754934692E1
3.305183167E0,4.223376465E1,-1.395914841E1,-3.727531433E1
3.315148167E0,4.230642700E1,-1.408346558E1,-3.719790649E1
3.325112167E0,4.233360291E1,-1.390215302E1,-3.707528687E1
3.335077167E0,4.244757080E1,-1.389015198E1,-3.706083679E1
3.345042167E0,4.256954956E1,-1.380495453E1,-3.716733551E1
3.355007167E0,4.272288513E1,-1.377709579E1,-3.702324677E1
3.364972167E0,4.287509155E1,-1.369695663E1,-3.710746765E1
3.374937292E0,4.304974365E1,-1.371915436E1,-3.737923431E1
3.384902292E0,4.285737610E1,-1.352882004E1,-3.715452194E1
3.394867292E0,4.291960144E1,-1.335088348E1,-3.728417206E1
3.404832292E0,4.274211121E1,-1.312921906E1,-3.741411209E1
3.414796292E0,4.276710510E1,-1.300691223E1,-3.751645660E1
3.424761292E0,4.256988525E1,-1.292870331E1,-3.740729141E1
3.434726292E0,4.273426819E1,-1.280093002E1,-3.769185638E1
3.444691292E0,4.255360413E1,-1.255843735E1,-3.766027069E1
3.454656292E0,4.252119446E1,-1.234466553E1,-3.790560150E1
3.464621292E0,4.253120422E1,-1.231064224E1,-3.809864426E1
3.474586292E0,4.263812256E1,-1.216683578E1,-3.816136932E1
3.484551292E0,4.247854614E1,-1.212598419E1,-3.837280655E1
3.494516292E0,4.254702759E1,-1.203101349E1,-3.853380585E1
3.504481292E0,4.230558777E1,-1.182719803E1,-3.858912277E1
3.514445292E0,4.230558777E1,-1.182719803E1,-3.858912277E1
3.524410292E0,4.230158997E1,-1.169151306E1,-3.865945816E1
3.534375292E0,4.219314575E1,-1.159801865E1,-3.872025681E1
3.544340292E0,4.223968506E1,-1.143359756E1,-3.886762619E1
