"Time (s)","X (hPa)"
1.202886841E2,1.021788559E3
1.213572211E2,1.021794281E3
1.224257451E2,1.021797028E3
1.234943351E2,1.021797028E3
1.245628931E2,1.021796341E3
1.256314721E2,1.021795959E3
1.267000351E2,1.021796341E3
1.277685991E2,1.021799316E3
1.288371571E2,1.021800919E3
1.299056751E2,1.021800919E3
1.309742061E2,1.021800537E3
1.320427001E2,1.021798935E3
1.331112411E2,1.021798706E3
1.341797791E2,1.021797638E3
1.352483551E2,1.021795654E3
1.363169171E2,1.021795654E3
1.373854691E2,1.021796341E3
1.384539931E2,1.021796341E3
1.395225591E2,1.021796341E3
1.405910811E2,1.021796494E3
1.416596301E2,1.021799240E3
1.427282221E2,1.021800308E3
1.437968081E2,1.021800613E3
1.448653931E2,1.021803360E3
1.459339501E2,1.021804810E3
1.470024761E2,1.021804810E3
1.480709991E2,1.021803741E3
1.491395471E2,1.021801682E3
1.502081211E2,1.021800613E3
1.512767131E2,1.021791916E3
1.523452261E2,1.021786423E3
1.534137591E2,1.021776581E3
1.544823171E2,1.021774902E3
1.555508171E2,1.021773148E3
1.566193361E2,1.021773148E3
1.576878481E2,1.021775284E3
1.587563441E2,1.021781006E3
1.598248111E2,1.021784821E3
1.608933071E2,1.021786880E3
1.619617941E2,1.021786880E3
1.630302911E2,1.021785583E3
1.640987831E2,1.021785583E3
1.651673111E2,1.021785812E3
1.662358601E2,1.021786499E3
1.673044211E2,1.021791458E3
1.683730141E2,1.021793671E3
1.694415861E2,1.021793671E3
1.705101421E2,1.021793671E3
1.715787341E2,1.021792603E3
1.726473171E2,1.021790619E3
1.737158601E2,1.021785202E3
1.747844061E2,1.021784286E3
1.758529351E2,1.021784286E3
1.769214541E2,1.021791687E3
1.779899991E2,1.021794891E3
1.790585521E2,1.021800079E3
1.801271091E2,1.021800537E3
1.811956501E2,1.021800537E3
1.822642161E2,1.021798630E3
1.833327971E2,1.021798630E3
1.844013341E2,1.021801376E3
1.854698641E2,1.021802292E3
1.865384201E2,1.021805191E3
1.876069861E2,1.021814499E3
1.886755661E2,1.021831360E3
1.897441461E2,1.021847229E3
1.908127581E2,1.021861420E3
1.918813641E2,1.021875534E3
1.929499701E2,1.021875534E3
1.940186011E2,1.021872406E3
1.950872101E2,1.021860504E3
1.961557591E2,1.021852341E3
1.972243411E2,1.021841965E3
1.982928841E2,1.021837006E3
1.993614301E2,1.021831512E3
2.004299531E2,1.021828156E3
2.014984931E2,1.021826401E3
2.025670161E2,1.021821594E3
2.036355021E2,1.021816711E3
2.047040141E2,1.021809235E3
2.057725341E2,1.021804504E3
2.068410551E2,1.021802063E3
2.079095631E2,1.021802063E3
2.089780881E2,1.021807861E3
2.100466381E2,1.021818237E3
2.111152161E2,1.021826019E3
2.121837921E2,1.021831665E3
2.132523561E2,1.021836929E3
2.143209151E2,1.021841125E3
2.153894431E2,1.021845856E3
2.164579461E2,1.021845856E3
2.175264841E2,1.021845245E3
2.185950091E2,1.021843491E3
2.196635601E2,1.021837769E3
2.207321411E2,1.021833878E3
2.218007161E2,1.021832809E3
2.228693301E2,1.021832809E3
2.239378861E2,1.021833878E3
2.250064811E2,1.021835327E3
2.260751151E2,1.021836395E3
2.271436861E2,1.021838608E3
2.282122601E2,1.021838608E3
2.292808741E2,1.021839523E3
2.303495081E2,1.021839523E3
2.314181491E2,1.021835556E3
2.324868471E2,1.021831131E3
2.335555381E2,1.021828156E3
2.346241601E2,1.021828079E3
2.356928191E2,1.021827850E3
2.367614581E2,1.021823044E3
2.378300441E2,1.021820755E3
2.388986451E2,1.021812363E3
2.399672731E2,1.021801453E3
2.410358581E2,1.021790695E3
2.421044531E2,1.021784821E3
2.431730221E2,1.021776962E3
2.442416161E2,1.021774292E3
2.453101961E2,1.021774292E3
2.463787641E2,1.021774673E3
2.474473491E2,1.021775131E3
2.485159121E2,1.021779938E3
2.495844391E2,1.021780090E3
2.506529721E2,1.021781616E3
2.517214851E2,1.021781616E3
2.527900201E2,1.021777878E3
2.538585731E2,1.021769562E3
2.549271541E2,1.021768112E3
2.559957511E2,1.021768112E3
2.570643101E2,1.021775665E3
2.581328591E2,1.021781387E3
2.592014371E2,1.021788788E3
2.602700151E2,1.021790085E3
2.613386421E2,1.021790085E3
2.624072201E2,1.021784363E3
2.634757981E2,1.021778488E3
2.645443841E2,1.021771240E3
2.656129901E2,1.021768417E3
2.666815501E2,1.021767273E3
2.677500781E2,1.021765671E3
2.688186311E2,1.021763306E3
2.698871481E2,1.021762238E3
2.709556411E2,1.021760712E3
2.720241691E2,1.021756592E3
2.730927231E2,1.021753998E3
2.741612141E2,1.021748199E3
2.752296891E2,1.021747971E3
2.762982221E2,1.021747513E3
2.773667871E2,1.021746521E3
2.784353661E2,1.021743698E3
2.795038761E2,1.021743317E3
2.805723931E2,1.021739731E3
2.816409041E2,1.021739273E3
2.827094041E2,1.021738892E3
2.837779171E2,1.021738510E3
2.848464271E2,1.021735687E3
