"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.158808542E0,-1.302289544E-3,-3.855476528E-2,-1.007680148E-1
2.168772542E0,4.529998696E-4,-2.229403704E-2,-9.341156483E-2
2.178736542E0,-1.770230196E-2,-3.240446001E-2,-9.381636232E-2
2.188700542E0,-7.409037650E-2,-8.146492392E-2,-1.063788533E-1
2.198664542E0,-1.410044283E-1,-1.337771267E-1,-1.167974025E-1
2.208628542E0,-1.661739796E-1,-1.853566766E-1,-1.259969771E-1
2.218591542E0,-1.351497471E-1,-2.184054404E-1,-1.462146342E-1
2.228555542E0,-9.529849887E-2,-2.103755325E-1,-1.695994139E-1
2.238519542E0,-5.916819721E-2,-2.036180347E-1,-1.855475008E-1
2.248483542E0,-1.743332297E-2,-1.912118196E-1,-2.023128271E-1
2.258447542E0,2.948465198E-2,-1.334225535E-1,-2.137074322E-1
2.268411542E0,7.390995324E-2,-7.386039943E-2,-2.247461826E-1
2.278374875E0,9.804484993E-2,-1.370571554E-2,-2.174131572E-1
2.288338875E0,1.055109203E-1,1.306955330E-2,-1.904114634E-1
2.298302875E0,9.172000736E-2,1.845526323E-2,-1.648568362E-1
2.308266875E0,6.883801520E-2,1.488597505E-2,-1.483713984E-1
2.318230875E0,4.210840166E-2,-6.398806814E-3,-1.458182186E-1
2.328194875E0,-1.392770559E-2,-7.845702022E-2,-1.340430528E-1
2.338157875E0,-8.562070131E-2,-2.205231935E-1,-1.179364249E-1
2.348121875E0,-1.089569181E-1,-2.763281465E-1,-1.088446602E-1
2.358085875E0,-6.279820949E-2,-2.437350303E-1,-9.153518081E-2
2.368049875E0,-1.414225809E-2,-2.395962179E-1,-6.332404912E-2
2.378013875E0,-9.486927651E-3,-2.398175746E-1,-6.117201224E-2
2.387977875E0,-4.480363801E-2,-2.175673991E-1,-8.580705523E-2
2.397941875E0,-7.017237693E-2,-1.628674120E-1,-1.020312980E-1
2.407904875E0,-4.562682286E-2,-9.627852589E-2,-1.104002818E-1
2.417868875E0,-2.013908140E-2,-4.735055566E-2,-1.162839755E-1
2.427832875E0,-1.421274804E-2,-3.237533569E-2,-1.290546358E-1
2.437796875E0,-1.438593771E-2,-6.494584680E-2,-1.505428255E-1
2.447760875E0,-1.872981898E-2,-1.232994348E-1,-1.486168355E-1
2.457724875E0,-3.461642936E-2,-1.615107358E-1,-1.398109496E-1
2.467687875E0,-5.929061770E-2,-1.716800183E-1,-1.311961561E-1
2.477651875E0,-7.379524410E-2,-1.580517143E-1,-1.206421703E-1
2.487615875E0,-7.329616696E-2,-1.069400683E-1,-1.171204001E-1
2.497579875E0,-4.428185523E-2,-3.577873856E-2,-1.042805314E-1
2.507543875E0,-4.895033780E-3,2.622714266E-3,-8.718968928E-2
2.517507875E0,1.922542602E-2,1.137344167E-3,-8.069737256E-2
2.527471875E0,2.814887837E-2,-2.888606861E-2,-8.763490617E-2
