"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.216390935E2,5.216956534E1,4.487548334E0,-1.579674568E0,1.277005728E0,2.208162994E2,6.522469669E0,4.601548880E0
1.226391091E2,5.216955816E1,4.487538257E0,-1.477726431E0,1.149985823E0,2.208162994E2,6.467722601E0,4.556072024E0
1.236391256E2,5.216954834E1,4.487522358E0,-7.098577116E-1,1.367989953E0,2.238948975E2,6.425236339E0,4.503682565E0
1.246391408E2,5.216953581E1,4.487514035E0,-2.339809062E-1,1.478483667E0,2.085087919E2,6.300052940E0,4.363110719E0
1.256391571E2,5.216952988E1,4.487493473E0,-2.652015332E-1,1.269298654E0,2.238948975E2,6.440156378E0,4.465873814E0
1.266391733E2,5.216951670E1,4.487472843E0,1.124868328E-1,1.384342600E0,2.238948975E2,6.465023487E0,4.215599743E0
1.276391884E2,5.216950355E1,4.487456749E0,4.751991481E-2,1.417155667E0,2.193464508E2,6.621359582E0,4.048869433E0
1.286392044E2,5.216948992E1,4.487438572E0,-6.227570400E-2,1.543136079E0,2.193464508E2,6.808973870E0,3.848808102E0
1.296392198E2,5.216948535E1,4.487432477E0,-5.546268420E-1,1.236068198E0,2.193464508E2,6.796543888E0,3.924941407E0
1.306392348E2,5.216948082E1,4.487424570E0,-5.324903717E-1,8.881014133E-1,2.119213104E2,6.932427827E0,3.868428483E0
1.316392508E2,5.216947199E1,4.487415622E0,-3.518369235E-2,1.004675893E0,2.119213104E2,6.985017015E0,3.934043596E0
1.326392653E2,5.216946076E1,4.487404248E0,1.866598893E-1,1.070959009E0,2.119213104E2,6.914336202E0,3.420534938E0
1.336391473E2,5.216944344E1,4.487386699E0,1.263993785E0,1.564373188E0,2.119213104E2,6.845596930E0,3.303970355E0
1.346390680E2,5.216943927E1,4.487382475E0,1.461985276E0,1.197327967E0,2.119213104E2,6.911329146E0,3.313438495E0
1.356389753E2,5.216942122E1,4.487364179E0,-3.388240896E-1,1.731928092E0,2.119213104E2,6.839379118E0,3.070117046E0
1.366388762E2,5.216941295E1,4.487356182E0,-5.144517338E-1,1.183515190E0,2.108840637E2,6.681861544E0,3.156962392E0
1.376387665E2,5.216940262E1,4.487350740E0,-3.283515852E-2,1.499963356E0,2.288214469E2,6.569245211E0,3.071281096E0
1.386386633E2,5.216939389E1,4.487344826E0,4.076659055E-1,1.194827998E0,2.334038953E2,6.544591492E0,3.125024571E0
1.396385629E2,5.216937876E1,4.487330697E0,4.553663600E-1,1.471500598E0,2.353392432E2,6.509537726E0,3.051764635E0
1.406384658E2,5.216937066E1,4.487322348E0,9.603306726E-1,1.153595908E0,2.108840637E2,6.593272896E0,3.052542466E0
1.416383693E2,5.216936055E1,4.487307945E0,5.883919187E-1,1.237860940E0,2.108840637E2,6.615833556E0,3.060478668E0
1.426382736E2,5.216935077E1,4.487295704E0,3.660102515E-1,1.196329766E0,2.108840637E2,6.574890239E0,3.077655573E0
1.436381830E2,5.216934541E1,4.487290488E0,2.091564164E-1,1.138879384E0,2.108840637E2,6.717662672E0,3.000000000E0
