"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.520975091E2,-7.599365234E0,3.764385986E1,-3.711772919E1
2.521074731E2,-8.097076416E0,3.790236282E1,-3.737281036E1
2.521174371E2,-8.173675537E0,3.822017670E1,-3.632605743E1
2.521274011E2,-8.215652466E0,3.859233093E1,-3.664867401E1
2.521373651E2,-7.993865967E0,3.920356750E1,-3.559654999E1
2.521473301E2,-7.789306641E0,3.974767303E1,-3.585179520E1
2.521572941E2,-7.164596558E0,4.037678909E1,-3.472849274E1
2.521672581E2,-6.422286987E0,4.095106506E1,-3.478802109E1
2.521772221E2,-5.857772827E0,4.147543335E1,-3.380717468E1
2.521871861E2,-6.122863770E0,4.192350006E1,-3.371385193E1
2.521971511E2,-7.452484131E0,4.168688583E1,-3.349876022E1
2.522071151E2,-1.011705017E1,4.095420837E1,-3.404681396E1
2.522170791E2,-1.286288452E1,4.015478897E1,-3.342842484E1
2.522270431E2,-1.531912231E1,3.967105103E1,-3.349472809E1
2.522370081E2,-1.648728943E1,3.924893188E1,-3.307698822E1
2.522469721E2,-1.667378235E1,3.928807831E1,-3.308260345E1
2.522569361E2,-1.617782593E1,3.933129120E1,-3.303234863E1
2.522669001E2,-1.528489685E1,3.932939911E1,-3.305030060E1
2.522768641E2,-1.442704773E1,3.906871033E1,-3.372552490E1
2.522868291E2,-1.335159302E1,3.919860840E1,-3.384796143E1
2.522967931E2,-1.242742920E1,3.905863190E1,-3.470632935E1
2.523067571E2,-1.246005249E1,3.905197906E1,-3.466239929E1
2.523167211E2,-1.122035217E1,3.941145706E1,-3.437268829E1
2.523266851E2,-1.039704895E1,3.975780487E1,-3.445778275E1
2.523366501E2,-1.052508545E1,3.996061325E1,-3.336831665E1
2.523466141E2,-1.113926697E1,3.987127304E1,-3.355077362E1
2.523565781E2,-1.153799438E1,3.979563904E1,-3.266893768E1
2.523665421E2,-1.227574158E1,3.963828278E1,-3.322018433E1
2.523765061E2,-1.260154724E1,3.972980499E1,-3.215281296E1
2.523864711E2,-1.338160706E1,3.971385574E1,-3.238502502E1
2.523964351E2,-1.364251709E1,4.010226822E1,-3.111959457E1
2.524063991E2,-1.394503784E1,4.042022705E1,-3.125254250E1
2.524163631E2,-1.396588135E1,4.103964233E1,-3.030625343E1
2.524263281E2,-1.389221191E1,4.125837708E1,-3.046229172E1
2.524362921E2,-1.334454346E1,4.164227295E1,-2.937788391E1
2.524462561E2,-1.315600586E1,4.195685196E1,-2.951188278E1
2.524562201E2,-1.282365417E1,4.223352814E1,-2.880212212E1
2.524661841E2,-1.256481934E1,4.259917831E1,-2.868001175E1
2.524761491E2,-1.225164795E1,4.293793869E1,-2.793247414E1
2.524861131E2,-1.208969116E1,4.347185516E1,-2.743001556E1
2.524960771E2,-1.187992859E1,4.397181702E1,-2.663580704E1
2.525060411E2,-1.155625916E1,4.455645752E1,-2.566281891E1
2.525160051E2,-1.112606812E1,4.509122467E1,-2.485624695E1
2.525259695E2,-1.061907959E1,4.589975739E1,-2.374767876E1
2.525359335E2,-1.023092651E1,4.657937622E1,-2.284294319E1
2.525458975E2,-1.023092651E1,4.657937622E1,-2.284294319E1
2.525558615E2,-9.559204102E0,4.714716721E1,-2.110539436E1
2.525658255E2,-9.252120972E0,4.798442459E1,-2.002776718E1
2.525757905E2,-8.982452393E0,4.836142349E1,-1.834683609E1
2.525857545E2,-9.235687256E0,4.885310364E1,-1.794309616E1
2.525957185E2,-9.166656494E0,4.912343597E1,-1.657026291E1
2.526056825E2,-9.746826172E0,4.914035797E1,-1.681586075E1
2.526156475E2,-9.624084473E0,4.906821442E1,-1.585266495E1
2.526256115E2,-1.000839233E1,4.919923401E1,-1.613818741E1
2.526355755E2,-9.727951050E0,4.908734894E1,-1.537138367E1
2.526455395E2,-9.879699707E0,4.932445145E1,-1.570395660E1
2.526555035E2,-9.266754150E0,4.939695358E1,-1.460665894E1
2.526654685E2,-9.046585083E0,4.975978088E1,-1.485954285E1
2.526754325E2,-8.403854370E0,4.966048050E1,-1.409768677E1
2.526853965E2,-8.068786621E0,5.002166748E1,-1.452002716E1
2.526953605E2,-7.293304443E0,4.990195465E1,-1.378829193E1
2.527053245E2,-7.072494507E0,5.012414551E1,-1.398958969E1
2.527152895E2,-6.498504639E0,5.013805389E1,-1.339991379E1
2.527252535E2,-6.351577759E0,5.025952530E1,-1.349713135E1
2.527352175E2,-5.972122192E0,5.016728973E1,-1.289675140E1
2.527451815E2,-6.036071777E0,5.044595718E1,-1.276516342E1
2.527551455E2,-5.967071533E0,5.030004120E1,-1.240212250E1
2.527651105E2,-5.795516968E0,5.037265778E1,-1.237320328E1
2.527750745E2,-5.795516968E0,5.037265778E1,-1.237320328E1
2.527850385E2,-5.803710938E0,5.035580063E1,-1.272213745E1
2.527950025E2,-5.517120361E0,5.021723938E1,-1.271644592E1
2.528049675E2,-5.595825195E0,4.996566010E1,-1.334008026E1
2.528149315E2,-5.459136963E0,4.989006805E1,-1.323972702E1
2.528248955E2,-5.884262085E0,4.987573242E1,-1.388926697E1
2.528348595E2,-5.629898071E0,4.970635223E1,-1.351135635E1
2.528448235E2,-6.254669189E0,4.984186554E1,-1.376808929E1
2.528547885E2,-6.564941406E0,4.964416504E1,-1.345192719E1
2.528647525E2,-7.296966553E0,4.947434998E1,-1.407514954E1
2.528747165E2,-7.751983643E0,4.924637985E1,-1.374857712E1
2.528846805E2,-8.730361938E0,4.892868805E1,-1.532176971E1
2.528946445E2,-9.068313599E0,4.798963165E1,-1.637978745E1
2.529046095E2,-1.004963684E1,4.703726959E1,-1.925292206E1
2.529145735E2,-1.025704956E1,4.609300995E1,-2.043797302E1
2.529245375E2,-1.083207703E1,4.534580994E1,-2.215356827E1
2.529345015E2,-1.072102356E1,4.445825958E1,-2.310127068E1
2.529444665E2,-1.131445312E1,4.353262711E1,-2.492888832E1
2.529544305E2,-1.150598145E1,4.251766968E1,-2.564637566E1
2.529643945E2,-1.221463013E1,4.160663605E1,-2.741858292E1
2.529743585E2,-1.244067383E1,4.070923615E1,-2.847326851E1
2.529843225E2,-1.281350708E1,3.939373779E1,-3.050154877E1
2.529942875E2,-1.316702271E1,3.837005615E1,-3.135375404E1
2.530042515E2,-1.384529114E1,3.731453323E1,-3.238463593E1
2.530142155E2,-1.383248901E1,3.729445648E1,-3.236196136E1
2.530241795E2,-1.450692749E1,3.662577057E1,-3.258065033E1
2.530341435E2,-1.536311340E1,3.628756714E1,-3.242302322E1
2.530441085E2,-1.610499573E1,3.621206284E1,-3.237151337E1
2.530540725E2,-1.663835144E1,3.645618439E1,-3.189240646E1
2.530640365E2,-1.696707153E1,3.643046188E1,-3.171181870E1
2.530740005E2,-1.697335815E1,3.669882584E1,-3.169980621E1
2.530839655E2,-1.679821777E1,3.650671387E1,-3.215284729E1
2.530939295E2,-1.637307739E1,3.640623093E1,-3.231157684E1
2.531038935E2,-1.591839600E1,3.587837601E1,-3.348050690E1
2.531138575E2,-1.500436401E1,3.580495453E1,-3.368563080E1
2.531238215E2,-1.408097839E1,3.556423187E1,-3.492418289E1
2.531337865E2,-1.303349304E1,3.563681030E1,-3.504379654E1
2.531437505E2,-1.197114563E1,3.551937103E1,-3.596735382E1
2.531537145E2,-1.061444092E1,3.576214218E1,-3.563784027E1
2.531636785E2,-9.661407471E0,3.558322144E1,-3.633871841E1
2.531736425E2,-9.251464844E0,3.605323792E1,-3.586535263E1
2.531836075E2,-9.296966553E0,3.626383209E1,-3.606250763E1
2.531935715E2,-9.558898926E0,3.671145248E1,-3.546725082E1
2.532035355E2,-1.006347656E1,3.662155151E1,-3.585095215E1
2.532134995E2,-1.071080017E1,3.674710083E1,-3.500941467E1
2.532234635E2,-1.130577087E1,3.667074966E1,-3.540364075E1
2.532334285E2,-1.187725830E1,3.688115692E1,-3.467343521E1
2.532433925E2,-1.248980713E1,3.704397964E1,-3.470905304E1
2.532533565E2,-1.248980713E1,3.704397964E1,-3.470905304E1
2.532633205E2,-1.283976746E1,3.747424316E1,-3.397932434E1
2.532732855E2,-1.338235474E1,3.796940231E1,-3.335459900E1
2.532832495E2,-1.350753784E1,3.861410522E1,-3.255094528E1
2.532932135E2,-1.357276917E1,3.941885376E1,-3.156715584E1
2.533031775E2,-1.334678650E1,4.024448395E1,-3.072479057E1
2.533131415E2,-1.277879333E1,4.115861130E1,-2.968398285E1
2.533231065E2,-1.205827332E1,4.145035553E1,-2.999196815E1
2.533330705E2,-1.222608948E1,4.114052582E1,-3.013952827E1
2.533430345E2,-1.325898743E1,4.050872040E1,-3.115332031E1
2.533529985E2,-1.483810425E1,4.034764099E1,-3.068663788E1
2.533629625E2,-1.638758850E1,3.984647751E1,-3.070930672E1
2.533729275E2,-1.720741272E1,4.003831100E1,-2.992156982E1
2.533828915E2,-1.781101990E1,3.985028076E1,-3.020618820E1
2.533928555E2,-1.787016296E1,3.997444153E1,-2.976215553E1
2.534028195E2,-1.790667725E1,3.954248047E1,-3.084342766E1
2.534127845E2,-1.791522217E1,3.928870773E1,-3.074908829E1
2.534227485E2,-1.785168457E1,3.880178452E1,-3.183907509E1
2.534327125E2,-1.745794678E1,3.888002014E1,-3.192954063E1
2.534426765E2,-1.678308105E1,3.884030914E1,-3.266921997E1
2.534526405E2,-1.628695679E1,3.925629425E1,-3.222545624E1
2.534626055E2,-1.619256592E1,3.914565659E1,-3.260581207E1
2.534725695E2,-1.619961548E1,3.914086914E1,-3.259372711E1
2.534825335E2,-1.640313721E1,3.941682816E1,-3.200158691E1
2.534924975E2,-1.671600342E1,3.942984009E1,-3.220188904E1
2.535024615E2,-1.679057312E1,3.942597961E1,-3.152771187E1
2.535124265E2,-1.688452148E1,3.963185120E1,-3.173524666E1
