"Time (s)","Sound pressure level (dB)"
7.597216292E1,-4.481922630E1
7.607864617E1,-4.608557780E1
7.618513000E1,-4.703290089E1
7.629153946E1,-4.511925800E1
7.639605921E1,-4.598963953E1
7.650199233E1,-4.564204334E1
7.660858204E1,-4.399161966E1
7.671519417E1,-4.438410678E1
7.682006396E1,-4.507219248E1
7.692221700E1,-4.440507678E1
7.702872687E1,-4.428575273E1
7.713520292E1,-4.197531320E1
7.723673212E1,NaN
7.734222654E1,-4.291756819E1
7.744861967E1,-4.401947094E1
7.755341921E1,-4.291819358E1
7.765991579E1,-4.463987581E1
7.776647133E1,-4.408196130E1
7.787021258E1,-4.184375108E1
7.797427179E1,-4.319313039E1
7.807935546E1,-4.202422201E1
7.818549387E1,-4.298915315E1
7.829193596E1,-4.024321719E1
7.839697133E1,-4.355343325E1
7.850217829E1,-4.529847703E1
7.860871408E1,-4.307961406E1
7.871529554E1,-4.436709812E1
7.882021287E1,-4.513747741E1
7.892231921E1,-4.544718632E1
7.902881579E1,-4.399131552E1
7.913535258E1,-4.236527224E1
7.923839946E1,-4.175559880E1
7.934327012E1,NaN
7.944916362E1,-4.308652948E1
7.955358737E1,-4.245948331E1
7.966010496E1,-4.410490995E1
7.976665204E1,-4.085525444E1
7.987024158E1,-3.911184612E1
7.997651512E1,-3.881839503E1
8.008294621E1,-3.996544043E1
8.018706412E1,-4.129453270E1
8.029359437E1,-3.957384226E1
8.039794667E1,-3.864466271E1
8.050363479E1,-3.922492989E1
8.061009508E1,-4.075508835E1
8.071222583E1,-4.010899006E1
8.081749550E1,-3.897246502E1
8.092043392E1,-3.714502910E1
8.102699937E1,-3.821629578E1
8.113344446E1,-4.077187525E1
8.123708392E1,-3.951817424E1
8.134364604E1,-3.533400231E1
8.145006187E1,-3.649464696E1
8.155372987E1,-3.965445087E1
8.166017175E1,-4.114041334E1
8.176665462E1,-4.076214868E1
8.187050071E1,-3.824677665E1
8.197697517E1,-3.943515295E1
8.208343262E1,-4.194688302E1
8.218721133E1,-4.212106035E1
8.229373154E1,-4.037005225E1
8.239888000E1,-3.934955805E1
8.250380688E1,-3.886603904E1
8.261033671E1,-4.078428908E1
