"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.513554167E0,-4.262203217E1,3.522971344E1,-8.288587952E1
1.523520167E0,-4.172663116E1,3.534476852E1,-8.299976349E1
1.533485167E0,-4.098357391E1,3.532360077E1,-8.313301086E1
1.543450167E0,-3.988643646E1,3.570519257E1,-8.324065399E1
1.553416167E0,-3.930540466E1,3.612130737E1,-8.302388000E1
1.563381167E0,-3.877334595E1,3.627139282E1,-8.327249908E1
1.573346167E0,-3.805843353E1,3.635955429E1,-8.295494080E1
1.583312167E0,-3.797087097E1,3.689749908E1,-8.247528839E1
1.593277167E0,-3.765541077E1,3.730322266E1,-8.179429626E1
1.603243167E0,-3.737998962E1,3.774176788E1,-8.168960571E1
1.613208167E0,-3.713175964E1,3.826174927E1,-8.114694214E1
1.623173167E0,-3.719526672E1,3.923040009E1,-8.055927277E1
1.633139167E0,-3.738901520E1,3.949322510E1,-8.028697205E1
1.643104167E0,-3.761000061E1,3.991862869E1,-8.001076508E1
1.653069167E0,-3.768814850E1,4.028839111E1,-7.952951050E1
1.663035167E0,-3.773355103E1,4.044604874E1,-7.912416840E1
1.673000167E0,-3.773739624E1,4.045233154E1,-7.865887451E1
1.682966167E0,-3.775742340E1,4.063193893E1,-7.834708405E1
1.692931167E0,-3.789834595E1,4.039176559E1,-7.819782257E1
1.702896167E0,-3.815512085E1,4.019897842E1,-7.805081177E1
1.712862167E0,-3.859082031E1,4.003287506E1,-7.758064270E1
1.722827167E0,-3.869356537E1,3.944158173E1,-7.731647491E1
1.732792167E0,-3.902619934E1,3.879463577E1,-7.760774994E1
1.742758167E0,-3.925443268E1,3.783777618E1,-7.766151428E1
1.752723167E0,-4.047664642E1,3.674763870E1,-7.777908325E1
1.762689167E0,-4.043849182E1,3.580444717E1,-7.774874878E1
1.772654167E0,-4.057122040E1,3.519441223E1,-7.784088135E1
1.782619167E0,-4.044501495E1,3.469173813E1,-7.774483490E1
1.792585167E0,-4.104253387E1,3.358498001E1,-7.760968018E1
1.802550167E0,-4.104253387E1,3.358498001E1,-7.760968018E1
1.812515167E0,-4.116303253E1,3.281343842E1,-7.774484253E1
1.822481167E0,-4.103008270E1,3.170085526E1,-7.789749908E1
1.832446167E0,-4.101233673E1,2.976030350E1,-7.840815735E1
1.842412167E0,-4.120034027E1,2.789344215E1,-7.881774902E1
1.852377167E0,-4.128583527E1,2.508265686E1,-7.926860809E1
1.862342167E0,-4.178213501E1,2.236398125E1,-7.975455475E1
1.872308167E0,-4.320755005E1,1.989235306E1,-7.954339600E1
1.882273167E0,-4.579298401E1,1.865731621E1,-7.804465485E1
1.892238167E0,-4.749531555E1,1.797302628E1,-7.729460144E1
1.902204167E0,-4.705605316E1,1.822196198E1,-7.742424774E1
1.912169167E0,-4.745043945E1,1.812344933E1,-7.724343872E1
1.922135167E0,-4.797895050E1,1.838217545E1,-7.653551483E1
1.932100167E0,-4.801707458E1,1.845063591E1,-7.625802612E1
1.942065167E0,-4.806774902E1,1.865271378E1,-7.616957092E1
1.952031167E0,-4.809220886E1,1.876633453E1,-7.599584961E1
1.961996167E0,-4.794954681E1,1.858158493E1,-7.598462677E1
1.971961167E0,-4.796369171E1,1.831201553E1,-7.633763885E1
1.981927167E0,-4.755397797E1,1.785303879E1,-7.646957397E1
1.991892167E0,-4.693126678E1,1.737554169E1,-7.732244873E1
2.001858167E0,-4.579648590E1,1.672084808E1,-7.810480499E1
2.011823167E0,-4.462212372E1,1.571258545E1,-7.902780914E1
2.021788167E0,-4.326531219E1,1.483681679E1,-7.964566040E1
2.031754167E0,-4.326531219E1,1.483681679E1,-7.964566040E1
2.041719167E0,-4.227142334E1,1.384662628E1,-8.062428284E1
2.051684167E0,-4.154784393E1,1.336814594E1,-8.102636719E1
2.061649917E0,-4.155019379E1,1.311185646E1,-8.110052490E1
2.071614917E0,-4.147304535E1,1.326212502E1,-8.128906250E1
2.081580917E0,-4.207212830E1,1.354234791E1,-8.127126312E1
2.091545917E0,-4.260497284E1,1.415452957E1,-8.095878601E1
2.101510917E0,-4.352452850E1,1.466821671E1,-8.055057526E1
2.111476917E0,-4.394022369E1,1.499426937E1,-8.014444733E1
2.121441917E0,-4.383819580E1,1.490634155E1,-8.026641846E1
2.131407917E0,-4.378502655E1,1.479216576E1,-8.039764404E1
2.141372917E0,-4.381686401E1,1.486665821E1,-8.035440063E1
2.151337917E0,-4.381858826E1,1.485746861E1,-8.015434265E1
2.161303917E0,-4.394229126E1,1.506558704E1,-8.027903748E1
2.171268917E0,-4.380586243E1,1.518029404E1,-8.046386719E1
2.181233917E0,-4.396437073E1,1.525688839E1,-8.038385773E1
2.191199917E0,-4.384088898E1,1.502974892E1,-8.025691223E1
2.201164917E0,-4.382779694E1,1.477525234E1,-8.061130524E1
2.211130917E0,-4.395476532E1,1.448245907E1,-8.077981567E1
2.221095917E0,-4.415876770E1,1.411788750E1,-8.098309326E1
2.231060917E0,-4.450239563E1,1.378999996E1,-8.108879852E1
2.241026917E0,-4.467744446E1,1.347706127E1,-8.097628784E1
2.250991917E0,-4.429425049E1,1.346355534E1,-8.121693420E1
2.260956917E0,-4.442433929E1,1.312040901E1,-8.119331360E1
2.270922917E0,-4.442433929E1,1.312040901E1,-8.119331360E1
2.280887917E0,-4.482281494E1,1.278614235E1,-8.134961700E1
2.290853917E0,-4.470264435E1,1.240797710E1,-8.118299103E1
2.300818917E0,-4.511965179E1,1.210769081E1,-8.133332825E1
2.310783917E0,-4.497325134E1,1.214669991E1,-8.114768982E1
2.320749917E0,-4.509247589E1,1.208791351E1,-8.118020630E1
2.330714917E0,-4.488654327E1,1.183047390E1,-8.096463776E1
2.340679917E0,-4.488891602E1,1.181069183E1,-8.097823334E1
2.350645917E0,-4.458143616E1,1.182210159E1,-8.050109100E1
