"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.111476917E0,3.074932396E-1,4.385180175E-1,-9.120180458E-2
2.121441917E0,3.596585989E-2,3.811572492E-2,-3.062527254E-2
2.131407917E0,-3.547034785E-2,-6.628571451E-2,8.157218806E-3
2.141372917E0,3.045807034E-2,2.803998441E-2,9.641836584E-2
2.151337917E0,6.717358483E-4,-1.240472309E-2,1.255682558E-1
2.161303917E0,4.503758624E-3,2.661843784E-3,5.378089473E-2
2.171268917E0,6.067149341E-3,-1.449177973E-3,-6.004901230E-2
2.181233917E0,9.433384985E-3,-2.580754925E-3,-2.669449449E-1
2.191199917E0,4.196791351E-2,6.010165066E-2,-4.641994238E-1
2.201164917E0,4.116736725E-2,8.904861659E-2,-6.353605390E-1
2.211130917E0,1.461504027E-2,4.108664766E-2,-7.371329665E-1
2.221095917E0,-4.594124854E-2,-4.564078897E-2,-7.958269119E-1
2.231060917E0,-8.746024221E-2,-9.488127381E-2,-8.041177988E-1
2.241026917E0,-7.423995528E-3,6.565434486E-2,-8.064078689E-1
2.250991917E0,2.719209064E-3,5.112425238E-2,-7.518809438E-1
2.260956917E0,2.494914830E-2,5.492351577E-2,-6.975159645E-1
2.270922917E0,1.853534207E-2,3.233341873E-2,-7.004763484E-1
2.280887917E0,2.584603848E-3,1.479100436E-3,-6.265975833E-1
2.290853917E0,1.097215991E-2,2.936625853E-2,-4.499073029E-1
2.300818917E0,1.756801084E-2,3.769050166E-2,-2.582233548E-1
2.310783917E0,1.785773970E-2,3.824458644E-2,1.441885158E-2
2.320749917E0,5.304635316E-2,8.123200387E-2,9.106910788E-3
2.330714917E0,1.950600557E-2,2.524043806E-2,7.182262838E-3
2.340679917E0,3.728373675E-3,4.921851680E-3,1.164199319E-2
2.350645917E0,4.068587441E-3,-1.008688007E-3,1.157944463E-2
2.360610917E0,3.441146808E-3,-3.969594836E-4,7.697355468E-3
2.370575917E0,5.803461652E-3,3.226469271E-3,5.712409038E-3
2.380541917E0,1.337340800E-3,1.229897141E-3,8.481297642E-3
2.390506917E0,-6.218069466E-4,-6.046125665E-3,8.400408551E-3
2.400472917E0,-7.826618385E-4,-8.208612911E-3,8.270446211E-3
2.410437917E0,-3.326872597E-3,-1.381401904E-2,7.138587069E-3
2.420402917E0,-3.569486551E-3,-1.672032662E-2,9.624382481E-3
2.430368917E0,-1.687476784E-2,-2.490879595E-2,1.243291888E-2
2.440333917E0,-1.901222020E-2,-2.690137550E-2,1.368567068E-2
2.450298917E0,1.407600567E-2,1.350199431E-2,6.055244710E-3
2.460264917E0,9.083110839E-3,1.639738306E-2,-5.181337893E-2
2.470229917E0,1.166284010E-1,1.932639480E-1,-3.728561997E-1
2.480195917E0,1.333597004E-1,2.040601373E-1,-3.775689304E-1
2.490160917E0,9.160469472E-2,1.406567842E-1,-4.227331579E-1
2.500125917E0,8.889732510E-2,1.410812885E-1,-4.897569418E-1
2.510091917E0,3.800998256E-2,6.095591187E-2,-4.842301309E-1
2.520056917E0,-7.745787036E-3,-1.189379394E-2,-4.529723525E-1
2.530021917E0,-1.922641546E-1,-2.720120847E-1,-5.513324738E-1
2.539987917E0,-3.180532455E-1,-4.373094141E-1,-6.496992707E-1
2.549952917E0,4.925637972E-3,1.950134337E-2,-3.431350291E-1
2.559918917E0,1.040650085E-1,1.751306206E-1,-3.137012422E-1
2.569883917E0,-2.815174870E-2,-4.999496043E-2,1.890332438E-2
2.579848917E0,-2.767451108E-2,-5.319847539E-2,9.828601964E-3
2.589814917E0,5.070536863E-3,4.434892908E-3,1.024060138E-2
2.599779917E0,4.198587267E-4,7.743603550E-3,1.089254301E-2
2.609744917E0,-7.886354811E-3,-1.046952140E-2,1.350113563E-2
2.619710917E0,3.419452161E-2,4.638843611E-2,6.411800627E-3
2.629675917E0,2.794346586E-2,4.164637625E-2,7.737552281E-3
