"Time (s)","X (hPa)"
2.582869672E2,1.022084274E3
2.593560422E2,1.022084274E3
2.604251262E2,1.022089996E3
2.614942562E2,1.022094879E3
2.625633452E2,1.022096710E3
2.636324592E2,1.022101746E3
2.647015562E2,1.022105026E3
2.657706352E2,1.022105637E3
2.668397352E2,1.022106171E3
2.679087802E2,1.022105637E3
2.689778412E2,1.022099228E3
2.700469382E2,1.022086487E3
2.711160282E2,1.022078400E3
2.721850592E2,1.022078247E3
2.732540952E2,1.022075348E3
2.743231282E2,1.022075348E3
2.753921452E2,1.022080536E3
2.764611252E2,1.022080536E3
2.775301212E2,1.022078400E3
2.785991272E2,1.022074203E3
2.796681362E2,1.022070923E3
2.807371612E2,1.022070923E3
2.818061292E2,1.022070923E3
2.828751262E2,1.022079544E3
2.839441462E2,1.022086182E3
2.850131412E2,1.022101746E3
2.860821572E2,1.022116928E3
2.871511442E2,1.022134171E3
2.882201352E2,1.022147293E3
2.892891642E2,1.022165756E3
2.903581922E2,1.022183533E3
2.914272082E2,1.022203445E3
2.924962452E2,1.022228317E3
2.935652542E2,1.022251282E3
2.946342662E2,1.022267303E3
2.957032802E2,1.022276764E3
2.967722922E2,1.022276764E3
2.978413292E2,1.022267532E3
2.989103702E2,1.022247314E3
2.999794082E2,1.022228546E3
3.010484132E2,1.022205811E3
3.021174102E2,1.022169113E3
3.031864102E2,1.022130585E3
3.042553892E2,1.022091522E3
3.053243392E2,1.022046432E3
3.063932422E2,1.021996918E3
3.074621562E2,1.021948700E3
3.085311022E2,1.021907883E3
3.096000402E2,1.021868973E3
3.106689892E2,1.021832199E3
3.117379632E2,1.021806259E3
3.128069782E2,1.021783295E3
3.138760472E2,1.021763306E3
3.149451062E2,1.021742401E3
3.160141452E2,1.021730423E3
3.170832082E2,1.021722870E3
3.181522292E2,1.021719666E3
3.192212992E2,1.021715469E3
3.202904242E2,1.021715088E3
3.213595592E2,1.021707764E3
3.224286582E2,1.021693573E3
3.234977232E2,1.021676178E3
3.245667802E2,1.021664352E3
3.256358322E2,1.021650085E3
3.267048822E2,1.021633224E3
3.277739242E2,1.021616745E3
3.288429222E2,1.021597366E3
3.299119732E2,1.021574478E3
3.309810032E2,1.021555328E3
3.320500182E2,1.021541672E3
3.331190342E2,1.021534271E3
3.341880482E2,1.021532211E3
3.352571002E2,1.021532135E3
3.363261472E2,1.021532135E3
3.373951942E2,1.021537781E3
3.384642332E2,1.021549606E3
3.395332382E2,1.021564407E3
3.406022432E2,1.021590118E3
3.416712632E2,1.021624298E3
3.427402982E2,1.021666260E3
3.438093512E2,1.021710052E3
3.448784612E2,1.021756363E3
3.459475482E2,1.021807327E3
3.470166412E2,1.021857605E3
3.480856802E2,1.021909409E3
3.491546972E2,1.021960526E3
3.502236772E2,1.022018814E3
3.512926372E2,1.022079544E3
3.523616262E2,1.022143631E3
3.534305722E2,1.022206192E3
3.544995012E2,1.022266998E3
3.555684392E2,1.022321548E3
3.566373742E2,1.022365646E3
3.577062892E2,1.022398605E3
3.587752412E2,1.022429199E3
3.598440992E2,1.022448120E3
3.609130252E2,1.022459717E3
3.619819712E2,1.022459717E3
3.630508902E2,1.022458191E3
3.641198442E2,1.022442856E3
3.651888132E2,1.022420731E3
3.662577562E2,1.022387466E3
3.673266632E2,1.022346878E3
