"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.372462458E0,-8.665146828E-1,6.163461134E-3,-4.754582047E-1
1.382427458E0,-8.197876811E-1,-1.771906465E-1,-5.171177387E-1
1.392391458E0,-1.838507354E-1,-7.188168168E-1,-5.728662014E-1
1.402356458E0,1.407537162E-1,-3.462893069E-1,-4.274061918E-1
1.412320458E0,2.440405786E-1,-1.089698523E-1,-3.756862581E-1
1.422285458E0,2.917183638E-1,9.443333000E-2,-2.312150747E-1
1.432249458E0,2.859051228E-1,1.634463221E-1,-1.670368463E-1
1.442214458E0,2.765457332E-1,1.913983226E-1,-1.480772644E-1
1.452178458E0,2.834126949E-1,1.701701880E-1,-9.728274494E-2
1.462142458E0,2.481777519E-1,1.687446088E-1,-1.390928589E-2
1.472107458E0,2.377856523E-1,1.222007647E-1,-1.018564776E-1
1.482071458E0,2.023693323E-1,1.911550611E-1,-1.121610403E-1
1.492036458E0,1.055565402E-1,1.913518310E-1,-7.254312187E-2
1.502000458E0,-4.312348366E-2,1.694627702E-1,-5.068043247E-2
1.511965458E0,-1.517575085E-1,1.277102232E-1,-3.339045867E-2
1.521929458E0,-1.449193209E-1,5.907550454E-2,-3.320297226E-2
1.531894458E0,-3.473602608E-2,1.020532474E-1,-7.116460055E-2
1.541858458E0,9.124161303E-2,3.345112801E-1,-1.340154707E-1
1.551823458E0,1.567583978E-1,6.216832399E-1,-1.882382780E-1
1.561787458E0,1.719338894E-1,8.365236521E-1,-2.237294316E-1
1.571751458E0,4.780820757E-2,1.104098678E0,-2.123073936E-1
1.581716458E0,3.495073318E-2,1.020363331E0,-1.430034190E-1
1.591680458E0,-2.921262942E-2,1.028660178E0,-7.080613822E-2
1.601645458E0,-1.169131845E-1,1.054094911E0,-3.398687392E-2
1.611609458E0,-2.447695881E-1,1.000194430E0,-2.393139340E-2
1.621574458E0,-4.401688874E-1,8.433040977E-1,-2.879299410E-2
1.631538458E0,-6.438031197E-1,5.131833553E-1,-3.900112584E-2
1.641503458E0,-8.411577344E-1,1.605997086E-1,-6.049443409E-2
1.651467458E0,-9.934327006E-1,-8.058370650E-2,-9.056236595E-2
1.661431458E0,-9.896320701E-1,-2.197815478E-1,-1.223732904E-1
1.671396458E0,-8.369742632E-1,-2.919274569E-1,-1.526766568E-1
1.681360458E0,-5.781557560E-1,-2.261260748E-1,-1.641722023E-1
1.691325458E0,-2.848967314E-1,-3.110546246E-2,-1.261901855E-1
1.701289458E0,1.654940844E-2,1.070801094E-1,-1.383647975E-2
1.711254458E0,2.336616516E-1,6.764224172E-2,1.068604589E-1
1.721218458E0,3.233726025E-1,-1.040352434E-1,1.802017838E-1
1.731183458E0,3.082281649E-1,-1.938493848E-1,2.562912107E-1
1.741147458E0,2.401151359E-1,-2.345145345E-1,3.381655812E-1
1.751112458E0,1.298232228E-1,-2.784684002E-1,3.905009031E-1
1.761076458E0,-2.332689473E-3,-3.004890084E-1,4.389927983E-1
1.771040458E0,-1.335005760E-1,-2.525877655E-1,4.694981277E-1
1.781005458E0,-2.584084272E-1,-1.776448190E-1,4.983425736E-1
1.790969458E0,-3.558490872E-1,-1.496268511E-1,5.363825560E-1
1.800934458E0,-4.216829836E-1,-1.331333667E-1,5.584074259E-1
1.810898458E0,-4.420310259E-1,-1.272220463E-1,5.796961784E-1
1.820863458E0,-4.085151553E-1,-1.752814502E-1,5.811440945E-1
1.830827458E0,-3.435729146E-1,-2.084705979E-1,5.640994310E-1
1.840792458E0,-2.361705452E-1,-2.180001736E-1,5.284178853E-1
1.850756458E0,-9.008850902E-2,-2.438561916E-1,4.884655476E-1
1.860721458E0,7.592629641E-2,-2.579818666E-1,4.380782843E-1
1.870685458E0,2.746600509E-1,-1.272868812E-1,3.981938064E-1
1.880649458E0,5.723524690E-1,2.700349092E-1,3.347152174E-1
1.890614458E0,7.551695704E-1,5.182709098E-1,3.320338130E-1
1.900578458E0,8.394082785E-1,5.873312354E-1,3.255708516E-1
1.910543208E0,8.297669291E-1,5.523223281E-1,3.289463818E-1
1.920507208E0,7.654494643E-1,4.721164703E-1,3.333147466E-1
1.930472208E0,6.735748053E-1,3.524503112E-1,3.394800127E-1
1.940436208E0,5.689173937E-1,2.344751954E-1,3.431085646E-1
1.950401208E0,4.972082376E-1,1.586012989E-1,3.506166041E-1
1.960365208E0,4.664111733E-1,9.454908222E-2,3.617691100E-1
1.970329208E0,4.118578136E-1,8.831258863E-2,3.797992766E-1
1.980294208E0,3.518754542E-1,1.111294851E-1,3.842683434E-1
1.990258208E0,2.858836353E-1,1.283828169E-1,3.975613415E-1
2.000223208E0,1.991021037E-1,8.420043439E-2,4.277929962E-1
2.010187208E0,9.610144794E-2,1.114139426E-2,4.565392137E-1
