"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.571751458E0,4.565716481E-1,6.901167503E-1,1.677406542E0
1.581716458E0,-2.880928999E-1,5.890087438E-1,6.702195525E-1
1.591680458E0,-8.664342758E-1,3.894950214E-1,1.940293264E0
1.601645458E0,-1.164310591E0,3.392458043E-1,2.195038909E0
1.611609458E0,-9.531797665E-1,3.047399229E-1,1.896385937E0
1.621574458E0,-8.630238873E-1,-2.494220468E-1,1.464364994E0
1.631538458E0,-1.150645940E0,-3.126804417E-1,1.332757033E0
1.641503458E0,-1.554671439E0,-4.229250151E-1,2.115634305E0
1.651467458E0,-1.699674201E0,-4.695371179E-1,2.923871536E0
1.661431458E0,-1.766702149E0,-5.754839878E-1,3.575747788E0
1.671396458E0,-1.926655803E0,-8.090242660E-1,4.638754637E0
1.681360458E0,-2.104845607E0,-9.246554406E-1,5.671553600E0
1.691325458E0,-2.345850149E0,-8.730161941E-1,5.855024024E0
1.701289458E0,-2.625665876E0,-9.226171012E-1,4.852378567E0
1.711254458E0,-3.147411759E0,-9.799242000E-1,3.570672405E0
1.721218458E0,-3.420101339E0,-1.075265536E0,2.508069014E0
1.731183458E0,-2.896128252E0,-1.109529489E0,1.348812903E0
1.741147458E0,-2.723277248E0,-7.034510332E-1,2.282285213E-1
1.751112458E0,-2.805230653E0,-8.113282152E-1,-3.231007648E-1
1.761076458E0,-2.848466427E0,-8.390907951E-1,-7.036322969E-1
1.771040458E0,-2.808059828E0,-6.457565564E-1,-7.806372035E-1
1.781005458E0,-2.563706148E0,-5.998421726E-1,-7.292887098E-1
1.790969458E0,-2.568415203E0,-5.014136526E-1,-7.552199417E-1
1.800934458E0,-2.488257478E0,-4.411500554E-1,-6.200258839E-1
1.810898458E0,-2.148980245E0,-4.711337002E-1,-4.646472377E-1
1.820863458E0,-1.852061850E0,-4.119572465E-1,-2.510145360E-1
1.830827458E0,-1.299777275E0,-4.726608467E-1,-9.193226337E-2
1.840792458E0,-6.896945813E-1,-5.054916470E-1,-1.176839858E-1
1.850756458E0,-2.883456458E-1,-4.949956025E-1,-1.487017107E-1
1.860721458E0,2.049507558E-2,-6.309345956E-1,-2.706027085E-1
1.870685458E0,3.209256005E-1,-7.184976733E-1,-3.575379413E-1
1.880649458E0,9.309688255E-1,-9.678201713E-1,-5.978731227E-1
1.890614458E0,9.981015855E-1,-8.546587144E-1,-1.178076544E0
1.900578458E0,5.133636072E-1,-6.199405146E-1,-1.780823906E0
1.910543208E0,5.383068059E-1,-4.342864475E-1,-2.441202595E0
1.920507208E0,5.449445651E-1,-1.569072546E-1,-2.945116224E0
1.930472208E0,6.582564417E-1,2.391832799E-2,-3.324587072E0
1.940436208E0,6.897735187E-1,2.052802464E-1,-3.667078958E0
1.950401208E0,6.585857861E-1,3.975706109E-1,-3.838773090E0
1.960365208E0,6.266051710E-1,5.308523369E-1,-3.687749450E0
1.970329208E0,4.621254797E-1,8.399063355E-1,-3.291818106E0
1.980294208E0,6.406760569E-1,9.956597883E-1,-3.302703867E0
1.990258208E0,7.226239072E-1,1.039151086E0,-3.506385777E0
2.000223208E0,5.737195905E-1,1.089739734E0,-3.508731680E0
2.010187208E0,4.176679297E-1,1.087163158E0,-3.479320770E0
2.020152208E0,3.398232168E-1,1.089739149E0,-3.189608776E0
2.030116208E0,4.341690646E-1,1.083272129E0,-2.560951232E0
2.040081208E0,6.091276972E-1,1.016881380E0,-1.939347770E0
2.050045208E0,6.843416016E-1,1.034474775E0,-1.499594468E0
2.060010208E0,4.104574357E-1,1.044097538E0,-1.181888344E0
2.069974208E0,1.077393338E-1,1.063274944E0,-1.071498760E0
2.079938208E0,-2.624858961E-2,9.762441087E-1,-1.247771847E0
2.089903208E0,-8.468814790E-3,8.575845149E-1,-1.093680173E0
2.099867208E0,-5.801168829E-3,6.993945274E-1,-3.418691576E-1
2.109832208E0,2.424107967E-1,6.336177367E-1,5.355669469E-1
2.119796208E0,4.914074586E-1,5.369530293E-1,1.642131459E0
2.129761208E0,1.205953145E-1,4.246186611E-1,7.647643518E-1
2.139725208E0,-5.737450258E-1,5.254734832E-1,1.217852229E0
2.149690208E0,-1.121448161E0,1.364102787E-1,1.942176068E0
2.159654208E0,-5.471896036E-1,2.308512899E-1,2.024518313E0
2.169619208E0,-1.427242483E-1,3.182221404E-1,1.996751640E0
2.179583208E0,2.002248900E-1,2.990482432E-1,1.357782531E0
2.189547208E0,3.326634474E-1,6.910172215E-1,5.421164131E-1
2.199512208E0,5.372554766E-1,1.306273532E0,8.582952440E-2
2.209476208E0,7.856671245E-1,1.793011842E0,1.101896095E-1
2.219441208E0,1.044360370E0,2.319860006E0,5.183638537E-1
2.229405208E0,1.249543992E0,2.880712360E0,1.062676481E0
2.239370208E0,1.476539627E0,3.227346706E0,1.323651164E0
2.249334208E0,1.418627634E0,2.922664378E0,1.279348565E0
2.259299208E0,8.708318205E-1,1.984001201E0,1.256266682E0
2.269263208E0,-3.398705792E-1,6.540432304E-1,1.812934476E0
2.279227208E0,-7.303739530E-1,-6.285537556E-1,3.526804839E0
2.289192208E0,-6.862761529E-1,-1.658217442E0,5.748290704E0
2.299156208E0,-3.772149915E-1,-2.190672208E0,7.091007884E0
2.309121208E0,2.357872170E-1,-2.102830364E0,6.860645129E0
2.319085208E0,4.983214988E-1,-1.784568171E0,5.890632398E0
2.329050208E0,5.489349975E-1,-1.474594990E0,4.801611287E0
2.339014208E0,6.333744925E-1,-1.261302011E0,3.644920934E0
2.348979208E0,9.278588377E-1,-1.126982989E0,2.416925540E0
2.358943208E0,1.036574949E0,-9.487051848E-1,1.271836647E0
2.368908208E0,1.380446193E0,-7.082910660E-1,3.691347241E-1
2.378872208E0,2.117248283E0,-7.269571325E-1,-2.728316671E-1
2.388836208E0,2.387260568E0,-7.642986211E-1,-7.832614338E-1
2.398801208E0,2.281566006E0,-8.233397117E-1,-9.611553687E-1
2.408765208E0,2.126413939E0,-9.377422401E-1,-8.456588262E-1
2.418730208E0,1.883946863E0,-9.673119020E-1,-7.797870183E-1
2.428694208E0,1.484270670E0,-9.300224537E-1,-7.737181932E-1
2.438659208E0,1.095770991E0,-8.015749133E-1,-8.106661642E-1
2.448623208E0,8.548502107E-1,-7.394038081E-1,-8.553517556E-1
