"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.728816292E0,-9.333311319E-1,-1.697027802E0,-5.099515915E-1
2.738869292E0,-9.860066772E-1,-1.052203536E0,-5.707402825E-1
2.748922292E0,-1.104476094E0,-3.740141392E-1,-5.306634307E-1
2.758975292E0,-1.216560245E0,4.201225191E-2,-4.519031942E-1
2.769028292E0,-1.268226624E0,1.660934538E-1,-3.832317293E-1
2.779081292E0,-1.244418740E0,2.708774060E-2,-3.077050745E-1
2.789135292E0,-1.111913443E0,-2.172751278E-1,-2.277175784E-1
2.799188292E0,-8.610403538E-1,-4.681741893E-1,-1.746219248E-1
2.809241292E0,-5.571811199E-1,-6.632992625E-1,-1.771474034E-1
2.819294292E0,-2.865335941E-1,-7.867937088E-1,-2.151368856E-1
2.829347292E0,-8.717627823E-2,-8.260481954E-1,-2.798027098E-1
2.839400292E0,6.672395766E-2,-6.669346094E-1,-3.269205391E-1
2.849453292E0,1.749092788E-1,-3.479821682E-1,-3.220043480E-1
2.859506292E0,2.167045474E-1,4.495066404E-2,-2.789941132E-1
2.869559292E0,2.382010520E-1,4.222747982E-1,-2.050700784E-1
2.879612292E0,2.799190581E-1,7.416524887E-1,-1.181076393E-1
2.889665292E0,3.411770761E-1,9.915499687E-1,-1.021020394E-2
2.899718292E0,4.237637818E-1,1.124540806E0,1.379394233E-1
2.909771292E0,4.883025587E-1,9.551007152E-1,3.267239928E-1
2.919825292E0,5.405385494E-1,5.603703856E-1,4.866624475E-1
2.929878292E0,6.735250950E-1,2.689848840E-1,6.229667664E-1
2.939931292E0,9.414557219E-1,1.113866344E-1,8.343653083E-1
2.949984292E0,1.325651288E0,8.316831291E-2,1.156060696E0
2.960037292E0,1.776229143E0,1.663442850E-1,1.562877297E0
2.970090292E0,2.241877556E0,2.683364153E-1,1.891880035E0
2.980143292E0,2.408704519E0,2.542898953E-1,2.033133745E0
2.990196292E0,1.925870061E0,1.634332240E-1,1.938620090E0
3.000249292E0,8.890435696E-1,2.168676704E-1,1.636364818E0
3.010302292E0,-1.467862725E-1,7.207452059E-1,1.413861394E0
3.020355292E0,-6.092407107E-1,1.680786610E0,1.460616112E0
3.030408292E0,-5.214841962E-1,2.714992285E0,1.669732571E0
3.040461292E0,-3.035708666E-1,3.283797741E0,1.829417586E0
3.050514292E0,-2.920697331E-1,3.234611988E0,1.818723679E0
3.060567292E0,-5.371063948E-1,2.837295294E0,1.570900321E0
3.070621292E0,-8.048731685E-1,2.285699129E0,1.230621099E0
3.080674292E0,-8.888576627E-1,1.740612626E0,9.834353328E-1
3.090727292E0,-7.726380825E-1,1.242530942E0,8.971627355E-1
3.100780292E0,-4.895995259E-1,8.757580519E-1,9.478247762E-1
3.110833292E0,-1.741603315E-1,5.823836923E-1,1.086120248E0
3.120886292E0,6.390180439E-2,3.148564100E-1,1.227553487E0
3.130939292E0,1.162273288E-1,1.863037348E-1,1.273071885E0
3.140992292E0,-1.948564872E-2,3.818479776E-1,1.163352966E0
