"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.356852792E0,-4.809799728E0,6.150068094E0,5.586277222E0
2.366906792E0,-4.642567898E0,6.764700506E0,3.944372635E0
2.376959792E0,-3.698434651E0,7.033827962E0,1.879913746E0
2.387012792E0,-2.184127127E0,7.060976000E0,7.993436158E-1
2.397065792E0,-5.597869181E-1,6.254328627E0,7.126279458E-1
2.407118792E0,5.912626261E-1,4.845104631E0,6.057978541E-1
2.417171792E0,1.196824984E0,3.584825590E0,-2.855780125E-3
2.427224792E0,1.462033709E0,2.241664022E0,-7.970409822E-1
2.437277792E0,1.903782519E0,6.091945016E-1,-1.310525919E0
2.447330792E0,2.413296612E0,-1.004788461E0,-1.513730696E0
2.457383792E0,2.955922171E0,-2.542678099E0,-1.657956071E0
2.467436792E0,3.532742102E0,-4.036693153E0,-1.736013769E0
2.477489792E0,3.807772322E0,-5.519649369E0,-1.792410749E0
2.487542792E0,3.887106174E0,-6.809690153E0,-1.902695668E0
2.497596792E0,3.899241193E0,-7.745693139E0,-2.035480673E0
2.507649792E0,3.837520031E0,-8.286648295E0,-2.171039012E0
2.517702792E0,3.396185935E0,-8.518535419E0,-2.372415365E0
2.527755792E0,2.969245637E0,-8.610746595E0,-2.610176017E0
2.537808792E0,3.039883218E0,-8.414230447E0,-2.857402142E0
2.547861792E0,3.317287992E0,-7.847228869E0,-3.104470392E0
2.557914792E0,3.454207563E0,-7.057793360E0,-3.257127745E0
2.567967792E0,3.328611710E0,-6.111934308E0,-3.162863027E0
2.578020792E0,3.419365759E0,-5.268275814E0,-2.676860003E0
2.588073792E0,3.886465319E0,-4.321892266E0,-1.522431353E0
2.598126792E0,4.275936075E0,-3.025866272E0,3.378345788E-1
2.608179792E0,4.395651383E0,-1.437395296E0,2.626740010E0
2.618232792E0,3.755286545E0,5.329134804E-1,4.953920145E0
2.628285792E0,2.235480591E0,2.354793026E0,5.991937748E0
2.638339792E0,1.100925677E0,2.491076421E0,4.206144878E0
2.648392792E0,1.028515732E-1,2.507432252E0,1.588074535E0
2.658445792E0,-1.442969008E0,4.181412326E0,6.394210982E-1
2.668498792E0,-1.972517270E0,5.865759512E0,1.264037631E0
2.678551792E0,-1.134595041E0,6.507200239E0,2.312334055E0
2.688604292E0,-2.857134486E-1,7.330128014E0,2.640576861E0
2.698657292E0,4.206016970E-1,7.825798239E0,1.867326445E0
2.708710292E0,9.495258415E-1,7.512451800E0,1.472534139E0
2.718763292E0,1.642250742E0,6.783011647E0,2.516431117E0
2.728816292E0,2.745358965E0,5.875195749E0,3.780886239E0
2.738869292E0,3.180900810E0,4.619191023E0,4.116864912E0
2.748922292E0,2.126338218E0,3.058422984E0,3.399872312E0
2.758975292E0,5.874338693E-1,1.765785452E0,2.117194927E0
2.769028292E0,-6.142882305E-1,6.188155103E-1,8.147937137E-1
2.779081292E0,-1.329911193E0,-5.827159703E-1,-2.548175651E-1
2.789135292E0,-1.876599837E0,-1.427211201E0,-7.608151424E-1
2.799188292E0,-2.101257902E0,-1.944097463E0,-8.132634974E-1
2.809241292E0,-1.966557349E0,-2.314785208E0,-9.178672618E-1
2.819294292E0,-1.914409980E0,-2.716863145E0,-1.277634746E0
2.829347292E0,-1.922086497E0,-3.291104745E0,-1.805438930E0
2.839400292E0,-2.026979991E0,-3.897488490E0,-2.032414978E0
2.849453292E0,-2.346175985E0,-4.572298107E0,-2.186289720E0
2.859506292E0,-2.628457629E0,-5.374139069E0,-2.577740927E0
