"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.829982460E1,5.238936221E1,4.891405312E0,3.701125874E0,2.002356746E0,3.442138933E1,5.450723289E0,4.481332163E0
6.929980242E1,5.238937718E1,4.891431044E0,4.155943454E0,2.041283326E0,4.256443691E1,5.379003445E0,4.453476490E0
7.029978096E1,5.238937781E1,4.891448639E0,6.360319917E0,1.455515699E0,6.073914877E1,5.313737395E0,4.313358531E0
7.129975832E1,5.238939531E1,4.891453039E0,6.011582493E0,1.563846720E0,4.076368330E1,5.171686953E0,4.090675190E0
7.229973578E1,5.238941544E1,4.891461466E0,4.945703525E0,1.888825452E0,2.633262810E1,5.147130198E0,4.376157579E0
7.329971397E1,5.238943131E1,4.891479971E0,4.311128132E0,1.902655086E0,3.048777325E1,5.062930664E0,4.448532460E0
7.429969227E1,5.238945391E1,4.891496924E0,4.245958734E0,1.979639440E0,2.671416228E1,5.062995823E0,4.479224793E0
7.529966998E1,5.238947229E1,4.891510161E0,3.631354328E0,1.902831095E0,2.598329103E1,5.088550812E0,4.540325357E0
7.629964781E1,5.238949537E1,4.891506959E0,3.191777707E0,1.887212327E0,6.728058146E0,5.087684883E0,4.542468248E0
7.729962587E1,5.238951907E1,4.891494265E0,2.881975019E0,1.924137341E0,3.504085167E2,5.052777040E0,4.545421635E0
7.829960299E1,5.238953962E1,4.891467792E0,3.038780173E0,1.977751952E0,3.321546170E2,5.000352023E0,4.500034826E0
7.929958105E1,5.238955656E1,4.891443358E0,2.744785833E0,1.947125862E0,3.243804144E2,4.988066806E0,4.542514848E0
8.029955924E1,5.238957303E1,4.891411356E0,3.192844093E0,1.957033448E0,3.146976354E2,4.901679203E0,4.534120275E0
8.129953718E1,5.238958954E1,4.891379321E0,3.407484672E0,2.062889072E0,3.121468474E2,4.858101329E0,4.468020099E0
8.229951441E1,5.238960281E1,4.891341423E0,3.656291744E0,2.004576050E0,3.049445241E2,4.886902714E0,4.603255412E0
8.329949224E1,5.238961327E1,4.891304208E0,3.947989035E0,2.074529044E0,2.988337560E2,4.865223090E0,4.668687734E0
8.429946983E1,5.238962389E1,4.891265088E0,4.176814958E0,2.097780419E0,2.960548430E2,4.824437260E0,4.649613905E0
8.529944766E1,5.238963917E1,4.891232530E0,4.469446005E0,2.091092849E0,3.001399572E2,4.865327916E0,4.654887296E0
8.629942620E1,5.238964932E1,4.891197682E0,5.036815317E0,1.909228770E0,2.963826041E2,4.856824343E0,4.583472809E0
8.729940379E1,5.238965549E1,4.891165969E0,5.723884893E0,1.869977348E0,2.914266632E2,4.876244773E0,4.553723907E0
8.829938173E1,5.238966638E1,4.891131304E0,6.143628744E0,1.972378910E0,2.951348570E2,4.893232642E0,4.449125196E0
8.929935968E1,5.238967084E1,4.891091295E0,6.497042547E0,1.886685136E0,2.882679833E2,4.887461150E0,4.389372279E0
9.029933977E1,5.238968109E1,4.891055417E0,6.761701407E0,1.873125176E0,2.916347120E2,4.937473401E0,4.277766503E0
9.129931450E1,5.238969053E1,4.891014312E0,6.755164607E0,1.972186390E0,2.903957903E2,4.994169489E0,4.325750413E0
9.229929328E1,5.238970094E1,4.890976905E0,6.156469160E0,1.970789883E0,2.915531527E2,5.103116650E0,4.321745337E0
9.329927039E1,5.238971053E1,4.890944583E0,6.093513947E0,1.872248539E0,2.926788448E2,5.158438982E0,4.283712163E0
9.429924881E1,5.238972076E1,4.890912552E0,5.600798883E0,1.901621099E0,2.954949930E2,5.167717400E0,4.218287676E0
9.529922628E1,5.238974142E1,4.890887041E0,5.297773856E0,1.948536409E0,3.108940210E2,5.123433218E0,4.266091304E0
9.629920387E1,5.238974375E1,4.890846122E0,5.131979342E0,1.887163390E0,2.994277724E2,5.171757025E0,4.340738857E0
9.729918194E1,5.238974430E1,4.890800596E0,5.036869636E0,1.975411127E0,2.875782233E2,5.134202145E0,4.359816503E0
