"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.360342542E0,1.031654663E0,7.929460602E0,1.222642502E1
1.370395542E0,-3.273692322E-1,7.198680267E0,9.787397003E0
1.380448542E0,-1.375789032E0,6.474486237E0,8.119714966E0
1.390501542E0,-1.706900482E0,5.982908478E0,7.184010773E0
1.400554542E0,-1.627116394E0,5.560337219E0,6.389912109E0
1.410607542E0,-1.714684296E0,5.006039886E0,5.445825348E0
1.420660542E0,-1.984573059E0,4.207001495E0,4.454436951E0
1.430713542E0,-2.010020142E0,3.303330688E0,3.567531281E0
1.440766542E0,-3.153342590E0,3.601360931E0,3.425326996E0
1.450819542E0,-4.805906067E0,4.445006561E0,3.587290192E0
1.460872542E0,-3.855233002E0,3.828588409E0,3.873045959E0
1.470926542E0,-2.864443359E0,3.435356140E0,3.613785095E0
1.480979542E0,-3.512894897E0,3.989054718E0,2.582579498E0
1.491032542E0,-4.497696991E0,4.353397064E0,1.646575928E0
1.501085542E0,-5.040617981E0,4.381089478E0,1.095871124E0
1.511138542E0,-5.483097839E0,4.470303955E0,9.509724426E-1
1.521191542E0,-6.177054749E0,4.642296295E0,1.243164825E0
1.531244542E0,-6.647376709E0,4.665797424E0,1.806293793E0
1.541297542E0,-7.545509033E0,4.551135864E0,2.566413116E0
1.551350542E0,-8.786578217E0,4.713398438E0,4.610711975E0
1.561403542E0,-8.756490784E0,5.267845459E0,7.341483307E0
1.571456542E0,-7.792046356E0,7.836653595E0,9.785151672E0
1.581509542E0,-5.612428894E0,1.082473984E1,1.122650436E1
1.591562542E0,-2.229314117E0,1.214978439E1,1.084135529E1
1.601615542E0,1.663041687E0,1.182690582E1,1.057700500E1
1.611668542E0,3.388054504E0,1.132844238E1,1.064122147E1
1.621722542E0,2.409838715E0,1.164503403E1,1.151420609E1
1.631775542E0,1.532662811E0,1.210233307E1,1.479972382E1
1.641828542E0,8.487350464E-2,1.132589767E1,1.805874664E1
1.651881542E0,-2.788551178E0,1.156554932E1,1.758707748E1
1.661934542E0,-3.527564392E0,1.243703705E1,1.565654205E1
1.671987542E0,-2.235900421E0,1.289164169E1,1.399544632E1
1.682040792E0,-8.264314270E-1,1.320673645E1,1.322859100E1
1.692093792E0,5.185217285E-1,1.292577072E1,1.277069321E1
1.702146792E0,1.109043732E0,1.229168930E1,1.191582092E1
1.712199792E0,8.863069153E-1,1.107427094E1,1.053224808E1
1.722252792E0,8.427474976E-1,9.447603607E0,8.706345062E0
1.732305792E0,1.103505249E0,7.805069275E0,6.517297211E0
1.742358792E0,1.642684021E0,6.482719116E0,4.616400146E0
1.752411792E0,2.718796234E0,5.107977905E0,3.505859528E0
1.762464792E0,4.125271454E0,3.725452881E0,3.280128937E0
1.772518792E0,5.363047485E0,2.402803345E0,3.479664001E0
1.782571792E0,6.149811401E0,1.072220306E0,3.491190033E0
1.792624792E0,6.547234955E0,1.975891113E-2,3.500470734E0
1.802677792E0,6.551575928E0,-6.487509155E-1,3.477119293E0
1.812730792E0,6.174210663E0,-1.079555054E0,3.043620758E0
1.822783792E0,5.988896027E0,-1.276844788E0,2.280357971E0
1.832836792E0,6.001469879E0,-1.124611359E0,1.407672729E0
1.842889792E0,6.270161133E0,-7.265890503E-1,6.432124329E-1
1.852942792E0,6.565047913E0,-1.517843628E-1,3.118016052E-1
1.862995792E0,6.503076782E0,5.602848816E-1,5.110372925E-1
1.873048792E0,6.522536316E0,1.462159424E0,1.603166199E0
1.883101792E0,6.768325195E0,2.515668640E0,3.883224792E0
1.893154792E0,6.839127960E0,3.571123810E0,6.710545349E0
1.903207792E0,6.340065765E0,4.645290070E0,9.140741730E0
1.913260792E0,5.100044403E0,6.225104828E0,1.048764084E1
1.923314792E0,3.413501587E0,8.180638275E0,9.860445099E0
1.933367792E0,2.496658173E0,9.442214813E0,7.131320343E0
1.943420792E0,2.417323151E0,1.060424835E1,4.129462738E0
1.953473792E0,2.296674042E0,1.253478378E1,2.819387054E0
1.963526792E0,2.371817780E0,1.438493637E1,3.942202148E0
1.973579792E0,2.833158417E0,1.459135712E1,6.328539734E0
1.983632792E0,2.608026581E0,1.401355865E1,8.648864594E0
1.993685792E0,2.244732056E0,1.344743591E1,9.976154480E0
2.003738792E0,2.213596802E0,1.268102966E1,1.029394363E1
2.013791792E0,2.296823730E0,1.228719864E1,1.058778259E1
2.023844792E0,2.700833588E0,1.234033813E1,1.137754028E1
2.033897792E0,3.516936493E0,1.210652435E1,1.204081100E1
2.043950792E0,4.226610718E0,1.161584473E1,1.198348022E1
2.054003792E0,3.884422302E0,1.101140167E1,1.071441925E1
2.064056792E0,2.686762848E0,1.009710297E1,8.335566101E0
2.074110792E0,1.448537750E0,8.894054718E0,5.618566132E0
2.084163792E0,3.987707520E-1,7.492070160E0,3.518882446E0
