"Time (s)","X (hPa)"
2.032067519E2,1.016594696E3
2.042675939E2,1.016596222E3
2.053283649E2,1.016598282E3
2.063891649E2,1.016600418E3
2.074499399E2,1.016600418E3
2.085107229E2,1.016598206E3
2.095715359E2,1.016594696E3
2.106323709E2,1.016590881E3
2.116931609E2,1.016586075E3
2.127539949E2,1.016584167E3
2.138148129E2,1.016584167E3
2.148756319E2,1.016585846E3
2.159364479E2,1.016589355E3
2.169972649E2,1.016595688E3
2.180580859E2,1.016600723E3
2.191188919E2,1.016606522E3
2.201796949E2,1.016614304E3
2.212405079E2,1.016620941E3
2.223012659E2,1.016624756E3
2.233620319E2,1.016631165E3
2.244229129E2,1.016631165E3
2.254837789E2,1.016628342E3
2.265446109E2,1.016621475E3
2.276053949E2,1.016614304E3
2.286661859E2,1.016608353E3
2.297270209E2,1.016605225E3
2.307878309E2,1.016605225E3
2.318485859E2,1.016612167E3
2.329093739E2,1.016626205E3
2.339701459E2,1.016633606E3
2.350309289E2,1.016639557E3
2.360917039E2,1.016639557E3
2.371524859E2,1.016635666E3
2.382133069E2,1.016627121E3
2.392741109E2,1.016619720E3
2.403348889E2,1.016613235E3
2.413956379E2,1.016605377E3
2.424564249E2,1.016599274E3
2.435172129E2,1.016591263E3
2.445779699E2,1.016586075E3
2.456387709E2,1.016579895E3
2.466995729E2,1.016578445E3
2.477603839E2,1.016577225E3
2.488212159E2,1.016576767E3
2.498820089E2,1.016574707E3
2.509427799E2,1.016574707E3
2.520035669E2,1.016576614E3
2.530643799E2,1.016585236E3
2.541251679E2,1.016595764E3
2.551860419E2,1.016610641E3
2.562468509E2,1.016619568E3
2.573076369E2,1.016619568E3
2.583684669E2,1.016614227E3
2.594292499E2,1.016613159E3
2.604900729E2,1.016601791E3
2.615508589E2,1.016586533E3
2.626116919E2,1.016585693E3
2.636725479E2,1.016582642E3
2.647333929E2,1.016585693E3
2.657941739E2,1.016586838E3
2.668549389E2,1.016597443E3
2.679157239E2,1.016606827E3
2.689765469E2,1.016606827E3
2.700373919E2,1.016606064E3
2.710982269E2,1.016598206E3
2.721591129E2,1.016589584E3
2.732200229E2,1.016584396E3
2.742809129E2,1.016575546E3
2.753417359E2,1.016568375E3
2.764025589E2,1.016568375E3
2.774633689E2,1.016566696E3
2.785241849E2,1.016566849E3
2.795849769E2,1.016566849E3
2.806457709E2,1.016566849E3
2.817065949E2,1.016566010E3
2.827673739E2,1.016562119E3
2.838281719E2,1.016559525E3
2.848889479E2,1.016559525E3
2.859497139E2,1.016561432E3
2.870104999E2,1.016564331E3
2.880713189E2,1.016564789E3
2.891320849E2,1.016564789E3
2.901928309E2,1.016545486E3
2.912536239E2,1.016526489E3
2.923144219E2,1.016505890E3
2.933752259E2,1.016485062E3
2.944359939E2,1.016462021E3
2.954967299E2,1.016453018E3
2.965575149E2,1.016438904E3
2.976183869E2,1.016422424E3
2.986792409E2,1.016413040E3
2.997401489E2,1.016408615E3
3.008010549E2,1.016408615E3
3.018619449E2,1.016410217E3
3.029228259E2,1.016411285E3
3.039837129E2,1.016411285E3
3.050446269E2,1.016401901E3
3.061055549E2,1.016392822E3
3.071664419E2,1.016385040E3
3.082273169E2,1.016383286E3
3.092881719E2,1.016383286E3
3.103490299E2,1.016386642E3
3.114099129E2,1.016389694E3
3.124707259E2,1.016391296E3
3.135315539E2,1.016391296E3
3.145923689E2,1.016388168E3
3.156531899E2,1.016382523E3
3.167139789E2,1.016382523E3
3.177747819E2,1.016382523E3
3.188355869E2,1.016382446E3
3.198963829E2,1.016372147E3
3.209572209E2,1.016361694E3
3.220180309E2,1.016343079E3
3.230789049E2,1.016322479E3
3.241396759E2,1.016301880E3
3.252004529E2,1.016294022E3
3.262612249E2,1.016288757E3
3.273220689E2,1.016283951E3
3.283829059E2,1.016281891E3
3.294437469E2,1.016281815E3
3.305045559E2,1.016281891E3
3.315653779E2,1.016282043E3
3.326261499E2,1.016286697E3
3.336869269E2,1.016293488E3
3.347477159E2,1.016302872E3
3.358085869E2,1.016312408E3
3.368694699E2,1.016323929E3
3.379302849E2,1.016336441E3
3.389910679E2,1.016346741E3
3.400518569E2,1.016354294E3
