"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.542315046E2,5.233439158E1,4.861813390E0,4.518308956E-2,3.943594114E0,3.708121479E-1,6.165180485E0,3.902823119E0
1.552315013E2,5.233443422E1,4.861833441E0,3.485796973E-2,4.437848048E0,0.000000000E0,6.172415350E0,3.849708476E0
1.562314973E2,5.233448250E1,4.861833441E0,2.790009603E-4,4.724356821E0,0.000000000E0,6.205157738E0,3.894853470E0
1.572314939E2,5.233453340E1,4.861833441E0,1.535343518E-1,5.308861328E0,0.000000000E0,5.994899845E0,3.817097030E0
1.582314899E2,5.233459365E1,4.861828268E0,-9.717537835E-2,6.004363906E0,0.000000000E0,5.932183644E0,4.239326376E0
1.592314868E2,5.233465539E1,4.861825126E0,-7.211517822E-2,6.555896445E0,1.144343257E0,5.943076756E0,4.228375738E0
1.602314823E2,5.233471564E1,4.861828002E0,-2.359244488E-1,6.719861381E0,2.298380375E0,6.213454623E0,4.280040768E0
1.612314790E2,5.233477787E1,4.861834000E0,-2.078733156E-1,6.807895236E0,2.298380375E0,6.492713732E0,4.344140366E0
1.622314739E2,5.233483400E1,4.861842107E0,-4.414148238E-1,6.416687579E0,2.298380375E0,6.756677583E0,4.427100796E0
1.632314702E2,5.233487698E1,4.861848692E0,-7.488923697E-1,4.982016294E0,0.000000000E0,6.941190933E0,4.071585244E0
1.642314662E2,5.233489033E1,4.861845727E0,-4.668616839E-1,2.539949636E0,0.000000000E0,7.073542123E0,4.132437450E0
1.652314620E2,5.233489057E1,4.861839177E0,-2.713655233E-1,1.070574783E0,0.000000000E0,7.176481892E0,4.960102401E0
1.662314572E2,5.233489194E1,4.861839276E0,-2.891662372E-1,5.458462541E-1,0.000000000E0,7.258833725E0,5.070574478E0
1.672314531E2,5.233489626E1,4.861838626E0,-2.088863496E-1,3.308068934E-1,0.000000000E0,7.326212478E0,5.035455311E0
