Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
93.95621908,52.2465366,4.659288063,4.121570182,47.0878911,NaN,NaN,7.38372785015983,1574.909662,31.54178143,-1
97.44265497,52.2465366,4.659288063,4.121570182,47.0878911,NaN,NaN,7.38372785015983,1588.400453,31.54413313,-1
97.45246696,52.2465366,4.659288063,4.121570182,47.0878911,NaN,NaN,7.53113265445983,1588.400516,31.54413313,-1
98.88041902,52.24688864,4.657200659,4.121570182,47.08856793,NaN,NaN,7.65348034695983,1590.682903,31.54447664,-1
98.88828301,52.24718084,4.655468076,4.121570182,47.08912994,NaN,NaN,7.75503088545983,1590.68297,31.54447664,-1
98.94720197,52.24742337,4.654029996,4.121570182,47.08959657,NaN,NaN,7.83932019681983,1590.686934,31.54447673,-1
99.05117106,52.24762467,4.65283635,4.121570182,47.089984,NaN,NaN,7.84339344418383,1590.699156,31.54447725,-1
105.120299,52.24760301,4.652884599,4.121570182,47.08998678,NaN,NaN,7.8433934442028,1630.009689,31.54689122,-1
105.132651,52.24760301,4.652884599,4.121570182,47.08998678,NaN,NaN,7.9408360543128,1630.009853,31.54689122,-1
120.020588,52.24730083,4.651541075,4.121570182,47.09114362,NaN,NaN,8.0109693590828,1835.864156,31.57533917,-1
120.0298281,52.24708334,4.650574092,4.121570182,47.09197614,NaN,NaN,8.0195482630128,1835.864238,31.57533917,-1
122.90351,52.24707087,4.650698447,4.121570182,47.0919242,NaN,NaN,8.0195482630305,1843.770216,31.5782862,-1
122.912222,52.24707087,4.650698447,4.121570182,47.0919242,NaN,NaN,8.1237417758305,1843.770283,31.5782862,-1
135.931273,52.24670568,4.649288998,4.121570182,47.09320315,NaN,NaN,8.12374177584248,1988.122911,31.5931795,-1
135.933318,52.24670568,4.649288998,4.121570182,47.09320315,NaN,NaN,8.15284695541248,1988.122915,31.5931795,-1
149.9349431,52.24664302,4.648873918,4.121570182,47.0935186,NaN,NaN,8.17186927080248,2141.922823,31.61824538,-1
149.94698,52.24660207,4.648602633,4.121570182,47.09372477,NaN,NaN,8.24000122510248,2141.922943,31.61824538,-1
155.084672,52.24715298,4.648164585,4.121570182,47.09321712,NaN,NaN,8.28941783358248,2163.146536,31.62226933,-1
155.09326,52.24755256,4.647846865,4.121570182,47.09284898,NaN,NaN,9.55470119958248,2163.146596,31.62226933,-1
158.021571,52.23630996,4.644978134,4.121570182,47.10974734,NaN,NaN,9.82329409298248,1414,31.62308852,-1
158.037161,52.23392341,4.644369167,4.121570182,47.11333279,NaN,NaN,9.86562752048248,1414,31.62308852,-1
159.381382,52.23396022,4.643750445,4.121570182,47.11362403,NaN,NaN,9.86562752058322,1416.274906,31.6241887,-1
159.390121,52.23396022,4.643750445,4.121570182,47.11362403,NaN,NaN,12.2755528435832,1416.275002,31.6241887,-1
200.846433,52.24854944,4.61758088,4.121570182,47.10827973,NaN,NaN,12.9084873143832,1861,31.70674093,-1
200.853498,52.25238179,4.61070656,4.121570182,47.10690171,NaN,NaN,12.9618383932132,1861,31.70674093,-1
202.52434,52.25190402,4.610634586,4.121570182,47.10758886,NaN,NaN,12.9618383932696,1863.664012,31.70884287,-1
202.5302141,52.25190402,4.610634586,4.121570182,47.10758886,NaN,NaN,13.0935688950696,1863.664044,31.70884287,-1
212.724962,52.25280056,4.609369626,4.121570182,47.10707721,NaN,NaN,13.1895432769496,1954.393523,31.72498699,-1
212.736328,52.25345375,4.608448011,4.121570182,47.10670474,NaN,NaN,13.4327713894496,1954.393631,31.72498699,-1
224.7943931,52.25498231,4.605892043,4.121570182,47.10605604,NaN,NaN,13.5307759731396,1861,31.74323296,-1
224.8059211,52.25559822,4.604862141,4.121570182,47.1057951,NaN,NaN,15.2460804791396,1861,31.74323296,-1
229.282279,52.24059793,4.598982083,4.121570182,47.12934854,NaN,NaN,15.7314465364396,1414,31.74571469,-1
229.3073391,52.23635349,4.597318281,4.121570182,47.13600661,NaN,NaN,15.9024075652396,1414,31.74571469,-1
231.24193,52.23503992,4.596013594,4.121570182,47.13850249,NaN,NaN,16.0553649505396,1418.688736,31.74753072,-1
231.249241,52.23386468,4.594846312,4.121570182,47.14073492,NaN,NaN,16.1577361634396,1418.688794,31.74753072,-1
233.903494,52.23297858,4.595254214,4.121570182,47.14170739,NaN,NaN,16.2079637133496,1414,31.74803,-1
233.926913,52.23254382,4.595454347,4.121570182,47.14218457,NaN,NaN,16.8548692861496,1414,31.74803001,-1
244.801296,52.23032189,4.604233305,4.121570182,47.14035037,NaN,NaN,17.3183449336496,1546.451357,31.75988862,-1
244.8054711,52.22873006,4.610522723,4.121570182,47.1390412,NaN,NaN,18.2082241662496,1546.451376,31.75988862,-1
246.980371,52.22086559,4.612942185,4.121570182,47.14836557,NaN,NaN,18.6920618680496,1551.856932,31.7600304,-1
246.985263,52.21658961,4.614257667,4.121570182,47.15343856,NaN,NaN,19.0515066622496,1551.856959,31.7600304,-1
252.384177,52.21897188,4.617823986,4.121570182,47.14825311,NaN,NaN,19.3054763414496,1583.973296,31.76627205,-1
252.3920441,52.22065515,4.620343869,4.121570182,47.1445871,NaN,NaN,20.4860239684496,1583.973362,31.76627205,-1
255.3815171,52.22706461,4.606527999,4.121570182,47.1434955,NaN,NaN,20.9505463117496,1414,31.76825923,-1
